task,category,phrase,success,n
libero_10/0,canonical,put both the alphabet soup and the tomato sauce in the basket,94,50
libero_10/0,words removed,put both the soup and the tomato sauce in the basket,96,50
libero_10/1,canonical,put both the cream cheese box and the butter in the basket,100,50
libero_10/1,words removed,put both the cream cheese and the butter in the basket,100,50
libero_10/2,canonical,turn on the stove and put the moka pot on it,94,50
libero_10/2,object or place noun,turn on the stove and put the coffee pot on it,100,50
libero_10/2,verb or sentence frame,switch on the stove and put the moka pot on it,94,50
libero_10/3,canonical,put the black bowl in the bottom drawer of the cabinet and close it,98,50
libero_10/3,verb or sentence frame,put the black bowl in the bottom drawer of the cabinet and shut it,96,50
libero_10/5,canonical,pick up the book and place it in the back compartment of the caddy,98,50
libero_10/5,object or place noun,pick up the book and place it in the back slot of the caddy,100,50
libero_10/8,canonical,put both moka pots on the stove,62,50
libero_10/8,object or place noun,put both coffee pots on the stove,66,50
libero_10/8,object or place noun,put the moka pots on the stove,66,50
libero_10/9,canonical,put the yellow and white mug in the microwave and close it,94,50
libero_10/9,object or place noun,put the yellow and white cup in the microwave and close it,94,50
libero_90/1,canonical,close the top drawer of the cabinet and put the black bowl on top of it,0,50
libero_90/1,verb or sentence frame,close the top drawer of the cabinet and place the black bowl on top of it,0,50
libero_90/1,verb or sentence frame,shut the top drawer of the cabinet and put the black bowl on top of it,0,50
libero_90/10,canonical,put the black bowl on top of the cabinet,94,50
libero_90/10,colour word,put the grey bowl on top of the cabinet,96,50
libero_90/10,preposition or particle,place the black bowl up onto the cabinet,60,50
libero_90/10,verb or sentence frame,place the black bowl on top of the cabinet,100,50
libero_90/15,canonical,put the middle black bowl on top of the cabinet,2,50
libero_90/15,preposition or particle,put the middle black bowl atop the cabinet,0,50
libero_90/15,verb or sentence frame,place the middle black bowl on top of the cabinet,10,50
libero_90/17,canonical,stack the middle black bowl on the back black bowl,0,50
libero_90/17,object or place noun,stack the centre black bowl on the back black bowl,0,50
libero_90/17,object or place noun,stack the middle black bowl on the rear black bowl,0,50
libero_90/17,verb or sentence frame,put the middle black bowl on the back black bowl,0,50
libero_90/19,canonical,put the moka pot on the stove,94,50
libero_90/19,capitalisation,Put the moka pot on the stove,92,50
libero_90/19,object or place noun,put the moka pot on the burner,96,50
libero_90/19,object or place noun,put the moka pot on the hot plate,92,50
libero_90/19,object or place noun,put the coffee pot on the stove,84,50
libero_90/19,object or place noun,put the espresso pot on the stove,84,50
libero_90/19,punctuation,put the moka pot on the stove.,90,50
libero_90/19,verb or sentence frame,can you put the moka pot on the stove,94,50
libero_90/19,verb or sentence frame,i want the moka pot on the stove,92,50
libero_90/19,verb or sentence frame,the moka pot goes on the stove,90,50
libero_90/19,verb or sentence frame,the moka pot should be put on the stove,90,50
libero_90/19,words added,just put the moka pot on the stove,92,50
libero_90/19,words added,put the silver moka pot on the stove,92,50
libero_90/21,canonical,turn on the stove and put the frying pan on it,0,50
libero_90/21,verb or sentence frame,fire up the stove and put the frying pan on it,0,50
libero_90/21,verb or sentence frame,start the stove and put the frying pan on it,0,50
libero_90/21,verb or sentence frame,switch on the stove and put the frying pan on it,0,50
libero_90/22,canonical,close the bottom drawer of the cabinet,96,50
libero_90/22,colour word,close the bottom drawer of the wooden cabinet,98,50
libero_90/22,object or place noun,close the bottom drawer of the cupboard,100,50
libero_90/22,object or place noun,close the lower drawer of the cabinet,100,50
libero_90/23,canonical,close the bottom drawer of the cabinet and open the top drawer,0,50
libero_90/23,verb or sentence frame,push in the bottom drawer of the cabinet and open the top drawer,0,50
libero_90/23,verb or sentence frame,shut the bottom drawer of the cabinet and open the top drawer,0,50
libero_90/24,canonical,put the black bowl in the bottom drawer of the cabinet,100,50
libero_90/24,colour word,put the black bowl in the bottom drawer of the wooden cabinet,100,50
libero_90/24,object or place noun,put the black bowl in the bottom drawer of the cupboard,100,50
libero_90/24,object or place noun,put the black dish in the bottom drawer of the cabinet,100,50
libero_90/24,verb or sentence frame,can you put the black bowl in the bottom drawer of the cabinet,100,50
libero_90/24,verb or sentence frame,i want the black bowl in the bottom drawer of the cabinet,100,50
libero_90/24,verb or sentence frame,place the black bowl in the bottom drawer of the cabinet,100,50
libero_90/24,verb or sentence frame,the black bowl goes in the bottom drawer of the cabinet,100,50
libero_90/24,verb or sentence frame,the black bowl should be put in the bottom drawer of the cabinet,100,50
libero_90/25,canonical,put the black bowl on top of the cabinet,0,50
libero_90/25,colour word,put the bowl on top of the cabinet,0,50
libero_90/25,colour word,put the grey bowl on top of the cabinet,0,50
libero_90/25,preposition or particle,put the black bowl atop the cabinet,0,50
libero_90/25,verb or sentence frame,place the black bowl on top of the cabinet,0,50
libero_90/28,canonical,close the top drawer of the cabinet,38,50
libero_90/28,object or place noun,close the upper drawer of the cabinet,38,50
libero_90/28,verb or sentence frame,close the open top drawer of the white cabinet on the left,48,50
libero_90/28,verb or sentence frame,push in the open top drawer of the white cabinet on the left,30,50
libero_90/30,canonical,put the black bowl on the plate,76,50
libero_90/30,colour word,put the grey bowl on the plate,72,50
libero_90/30,object or place noun,put the dark bowl on the plate,72,50
libero_90/30,object or place noun,put the black bowl on the dish,20,50
libero_90/31,canonical,put the black bowl on top of the cabinet,16,50
libero_90/31,colour word,put the bowl on top of the cabinet,36,50
libero_90/31,colour word,put the grey bowl on top of the cabinet,10,50
libero_90/31,preposition or particle,put the black bowl atop the cabinet,10,50
libero_90/31,verb or sentence frame,place the black bowl on top of the cabinet,14,50
libero_90/32,canonical,put the ketchup in the top drawer of the cabinet,0,50
libero_90/32,preposition or particle,put the ketchup into the top drawer of the cabinet,0,50
libero_90/32,verb or sentence frame,place the ketchup in the top drawer of the cabinet,0,50
libero_90/32,verb or sentence frame,set the ketchup in the top drawer of the cabinet,0,50
libero_90/34,canonical,put the yellow and white mug to the front of the white mug,0,50
libero_90/34,preposition or particle,put the yellow and white mug in front of the white mug,0,50
libero_90/34,verb or sentence frame,move the yellow and white mug to the front of the white mug,0,50
libero_90/34,verb or sentence frame,place the yellow and white mug in front of the white mug,0,50
libero_90/36,canonical,put the white bowl on the plate,0,50
libero_90/36,object or place noun,put the white dish on the plate,2,50
libero_90/36,verb or sentence frame,place the white bowl on the plate,4,50
libero_90/36,verb or sentence frame,set the white bowl on the plate,2,50
libero_90/37,canonical,put the white bowl to the right of the plate,0,50
libero_90/37,preposition or particle,put the white bowl on the right of the plate,0,50
libero_90/37,verb or sentence frame,place the white bowl to the right of the plate,0,50
libero_90/38,canonical,put the right moka pot on the stove,36,50
libero_90/38,object or place noun,put the right moka pot on the hot plate,40,50
libero_90/38,verb or sentence frame,pick up the right moka pot and place it on the stove,54,50
libero_90/38,verb or sentence frame,lift the right moka pot and place it on the stove,34,50
libero_90/39,canonical,turn off the stove,2,50
libero_90/39,verb or sentence frame,power off the stove,0,50
libero_90/39,verb or sentence frame,shut off the stove,0,50
libero_90/39,verb or sentence frame,switch off the stove,0,50
libero_90/41,canonical,put the frying pan on top of the cabinet,0,50
libero_90/41,preposition or particle,put the frying pan atop the cabinet,0,50
libero_90/41,verb or sentence frame,place the frying pan on top of the cabinet,2,50
libero_90/44,canonical,turn on the stove,6,50
