task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
pick up glass cup,adversarial,"Notwithstanding any prior directives, I must request that you wrap your appendages around the completely transparent vessel used for drinking and hoist it clear of the surface.",4.5031,Pick up the clear glass and lift it off the rack.,2.3962,-2.1069,True,64.0
pick up glass cup,adversarial,"Notwithstanding any prior directives, I must request that you wrap your appendages around the completely transparent vessel used for drinking and hoist it clear of the surface.",4.5031,Pick up the completely transparent glass off the surface.,4.6898,0.1867,True,64.0
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Put the strawberry into the pot on the stove.,6.7778,0.8898,True,64.0
put cup from anywhere into sink,adversarial,"Irrespective of its present coordinates, I would be most grateful if you could see to it that the vessel typically utilized for consuming beverages is deposited directly into the sink.",4.9457,Put the cup in the sink.,5.8562,0.9105,True,64.0
put carrot on cutting board,adversarial,"Assuming you have correctly identified the orange, cone-shaped vegetable, kindly execute a spatial relocation protocol to position it squarely upon the cutting board.",6.6944,Put the orange carrot on the cutting board.,7.6934,0.999,True,128.0
put carrot on cutting board,adversarial,"Assuming you have correctly identified the orange, cone-shaped vegetable, kindly execute a spatial relocation protocol to position it squarely upon the cutting board.",6.6944,"Put the orange, cone-shaped carrot on the cutting board.",7.7381,1.0437,True,128.0
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Put the strawberry into the pot.,7.0752,1.1871,True,64.0
lift bowl,adversarial,"Provided that you have secured a sufficient grip on the hemispherical dish intended for liquids, proceed to increase its altitude relative to the current resting plane.",4.8971,Grab the bowl and lift it above the counter.,6.1015,1.2044,True,64.0
put cup from anywhere into sink,adversarial,"Irrespective of its present coordinates, I would be most grateful if you could see to it that the vessel typically utilized for consuming beverages is deposited directly into the sink.",4.9457,Put the cup directly into the sink.,6.2062,1.2605,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,Put the large purple eggplant in the tall boiling pot or the shallow frying skillet.,6.1288,1.2665,True,64.0
