task,finetune,sealed_v2,edit_class,phrase_a,succ_a,phrase_b,succ_b,delta,p_z,p_fisher,p_mcnemar,a_only,b_only,significant,designed,a_is_canonical
libero_10/0,in,False,words removed,put both the alphabet soup and the tomato sauce in the basket,94,put both the soup and the tomato sauce in the basket,96,2,0.64635519553949,1.0,1.0,0,1,False,True,True
libero_10/1,in,False,words removed,put both the cream cheese box and the butter in the basket,100,put both the cream cheese and the butter in the basket,100,0,1.0,1.0,1.0,0,0,False,True,True
libero_10/2,in,False,verb/frame,turn on the stove and put the moka pot on it,94,switch on the stove and put the moka pot on it,94,0,1.0,1.0,1.0,3,3,False,True,True
libero_10/2,in,False,noun/other,turn on the stove and put the moka pot on it,94,turn on the stove and put the coffee pot on it,100,6,0.0786401793488283,0.24242424242424243,0.25,0,3,False,True,True
libero_10/3,in,False,verb/frame,put the black bowl in the bottom drawer of the cabinet and close it,98,put the black bowl in the bottom drawer of the cabinet and shut it,96,-2,0.5577341459422835,1.0,1.0,1,0,False,True,True
libero_10/5,in,False,noun/other,pick up the book and place it in the back compartment of the caddy,98,pick up the book and place it in the back slot of the caddy,100,2,0.31487864133641963,1.0,1.0,0,1,False,True,True
libero_10/8,in,False,noun/other,put both coffee pots on the stove,66,put the moka pots on the stove,66,0,1.0,1.0,1.0,10,10,False,False,False
libero_10/8,in,False,noun/other,put both moka pots on the stove,62,put both coffee pots on the stove,66,4,0.6769222390213792,0.8351562058369704,0.8318119049072266,10,12,False,True,True
libero_10/8,in,False,noun/other,put both moka pots on the stove,62,put the moka pots on the stove,66,4,0.6769222390213792,0.8351562058369704,0.7744140625,5,7,False,True,True
libero_10/9,in,False,noun/other,put the yellow and white mug in the microwave and close it,94,put the yellow and white cup in the microwave and close it,94,0,1.0,1.0,1.0,2,2,False,True,True
libero_90/1,out,False,verb/frame,close the top drawer of the cabinet and put the black bowl on top of it,0,close the top drawer of the cabinet and place the black bowl on top of it,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/1,out,False,verb/frame,close the top drawer of the cabinet and put the black bowl on top of it,0,shut the top drawer of the cabinet and put the black bowl on top of it,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/10,out,False,preposition/particle,place the black bowl on top of the cabinet,100,place the black bowl up onto the cabinet,60,-40,5.73303143758389e-07,1.758607257103998e-07,1.9073486328125e-06,20,0,True,False,False
libero_90/10,out,False,color,put the black bowl on top of the cabinet,94,put the grey bowl on top of the cabinet,96,2,0.64635519553949,1.0,1.0,1,2,False,True,True
libero_90/10,out,False,verb/frame,put the black bowl on top of the cabinet,94,place the black bowl on top of the cabinet,100,6,0.0786401793488283,0.24242424242424243,0.25,0,3,False,True,True
libero_90/15,out,False,preposition/particle,put the middle black bowl on top of the cabinet,2,put the middle black bowl atop the cabinet,0,-2,0.31487864133641996,1.0,1.0,1,0,False,True,True
libero_90/15,out,False,verb/frame,put the middle black bowl on top of the cabinet,2,place the middle black bowl on top of the cabinet,10,8,0.09212296325765205,0.20440158503099362,0.125,0,4,False,True,True
libero_90/17,out,False,verb/frame,stack the middle black bowl on the back black bowl,0,put the middle black bowl on the back black bowl,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/17,out,False,noun/other,stack the middle black bowl on the back black bowl,0,stack the centre black bowl on the back black bowl,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/17,out,False,noun/other,stack the middle black bowl on the back black bowl,0,stack the middle black bowl on the rear black bowl,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/19,out,False,noun/other,put the moka pot on the stove,94,put the coffee pot on the stove,84,-10,0.11004143475794968,0.19971707940132497,0.125,6,1,False,True,True
libero_90/19,out,False,noun/other,put the moka pot on the stove,94,put the espresso pot on the stove,84,-10,0.11004143475794968,0.19971707940132497,0.125,6,1,False,True,True
libero_90/19,out,False,noun/other,put the moka pot on the burner,96,put the moka pot on the stove.,90,-6,0.23967772321846303,0.4360315033131094,0.375,4,1,False,False,False
libero_90/19,out,False,noun/other,put the moka pot on the burner,96,put the moka pot on the hot plate,92,-4,0.39970292178238365,0.6777322876074912,0.6875,4,2,False,False,False
libero_90/19,out,False,punctuation,put the moka pot on the stove,94,put the moka pot on the stove.,90,-4,0.4609947864255787,0.7149836629646897,0.7265625,5,3,False,True,True
libero_90/19,out,False,case,put the moka pot on the stove,94,Put the moka pot on the stove,92,-2,0.6951092703010286,1.0,1.0,4,3,False,True,True
libero_90/19,out,False,verb/frame,can you put the moka pot on the stove,94,i want the moka pot on the stove,92,-2,0.6951092703010286,1.0,1.0,3,2,False,False,False
libero_90/19,out,False,noun/other,can you put the moka pot on the stove,94,just put the moka pot on the stove,92,-2,0.6951092703010286,1.0,1.0,3,2,False,False,False
libero_90/19,out,False,verb/frame,put the moka pot on the stove,94,i want the moka pot on the stove,92,-2,0.6951092703010286,1.0,1.0,3,2,False,True,True
libero_90/19,out,False,words added,put the moka pot on the stove,94,just put the moka pot on the stove,92,-2,0.6951092703010286,1.0,1.0,3,2,False,True,True
libero_90/19,out,False,noun/other,put the moka pot on the stove,94,put the moka pot on the hot plate,92,-2,0.6951092703010286,1.0,1.0,4,3,False,True,True
libero_90/19,out,False,noun/other,put the moka pot on the hot plate,92,put the moka pot on the stove.,90,-2,0.7267678061991002,1.0,1.0,5,4,False,False,False
libero_90/19,out,False,words added,put the moka pot on the stove,94,put the silver moka pot on the stove,92,-2,0.6951092703010286,1.0,1.0,4,3,False,True,True
libero_90/19,out,False,verb/frame,Put the moka pot on the stove,92,i want the moka pot on the stove,92,0,1.0,1.0,1.0,3,3,False,False,False
libero_90/19,out,False,words added,Put the moka pot on the stove,92,just put the moka pot on the stove,92,0,1.0,1.0,1.0,3,3,False,False,False
libero_90/19,out,False,verb/frame,put the moka pot on the stove,94,can you put the moka pot on the stove,94,0,1.0,1.0,1.0,2,2,False,True,True
libero_90/19,out,False,noun/other,i want the moka pot on the stove,92,just put the moka pot on the stove,92,0,1.0,1.0,1.0,1,1,False,False,False
libero_90/19,out,False,noun/other,put the coffee pot on the stove,84,put the espresso pot on the stove,84,0,1.0,0.9999999999999999,1.0,6,6,False,False,False
libero_90/19,out,False,verb/frame,the moka pot goes on the stove,90,the moka pot should be put on the stove,90,0,1.0,1.0,1.0,4,4,False,False,False
libero_90/19,out,False,verb/frame,Put the moka pot on the stove,92,can you put the moka pot on the stove,94,2,0.6951092703010286,1.0,1.0,2,3,False,False,False
libero_90/19,out,False,noun/other,put the moka pot on the stove,94,put the moka pot on the burner,96,2,0.64635519553949,1.0,1.0,2,3,False,True,True
libero_90/19,out,False,noun/other,put the coffee pot on the stove,84,put the silver moka pot on the stove,92,8,0.21835469056590126,0.35666132312750487,0.34375,3,7,False,False,False
libero_90/19,out,False,noun/other,put the espresso pot on the stove,84,put the silver moka pot on the stove,92,8,0.21835469056590126,0.35666132312750487,0.3876953125,4,8,False,False,False
libero_90/21,out,False,verb/frame,fire up the stove and put the frying pan on it,0,start the stove and put the frying pan on it,0,0,1.0,1.0,1.0,0,0,False,False,False
libero_90/21,out,False,verb/frame,fire up the stove and put the frying pan on it,0,switch on the stove and put the frying pan on it,0,0,1.0,1.0,1.0,0,0,False,False,False
libero_90/21,out,False,verb/frame,turn on the stove and put the frying pan on it,0,fire up the stove and put the frying pan on it,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/21,out,False,verb/frame,start the stove and put the frying pan on it,0,switch on the stove and put the frying pan on it,0,0,1.0,1.0,1.0,0,0,False,False,False
libero_90/21,out,False,verb/frame,turn on the stove and put the frying pan on it,0,start the stove and put the frying pan on it,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/21,out,False,verb/frame,turn on the stove and put the frying pan on it,0,switch on the stove and put the frying pan on it,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/22,out,False,noun/other,close the bottom drawer of the cupboard,100,close the bottom drawer of the wooden cabinet,98,-2,0.31487864133641963,1.0,1.0,1,0,False,False,False
libero_90/22,out,False,color,close the bottom drawer of the cabinet,96,close the bottom drawer of the wooden cabinet,98,2,0.5577341459422835,1.0,1.0,1,2,False,True,True
libero_90/22,out,False,noun/other,close the bottom drawer of the cabinet,96,close the bottom drawer of the cupboard,100,4,0.15312745101966943,0.494949494949495,0.5,0,2,False,True,True
libero_90/22,out,False,noun/other,close the bottom drawer of the cabinet,96,close the lower drawer of the cabinet,100,4,0.15312745101966943,0.494949494949495,0.5,0,2,False,True,True
libero_90/23,out,False,verb/frame,close the bottom drawer of the cabinet and open the top drawer,0,push in the bottom drawer of the cabinet and open the top drawer,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/23,out,False,verb/frame,close the bottom drawer of the cabinet and open the top drawer,0,shut the bottom drawer of the cabinet and open the top drawer,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/23,out,False,verb/frame,push in the bottom drawer of the cabinet and open the top drawer,0,shut the bottom drawer of the cabinet and open the top drawer,0,0,1.0,1.0,1.0,0,0,False,False,False
libero_90/24,out,False,verb/frame,can you put the black bowl in the bottom drawer of the cabinet,100,i want the black bowl in the bottom drawer of the cabinet,100,0,1.0,1.0,1.0,0,0,False,False,False
libero_90/24,out,False,verb/frame,can you put the black bowl in the bottom drawer of the cabinet,100,place the black bowl in the bottom drawer of the cabinet,100,0,1.0,1.0,1.0,0,0,False,False,False
libero_90/24,out,False,verb/frame,put the black bowl in the bottom drawer of the cabinet,100,can you put the black bowl in the bottom drawer of the cabinet,100,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/24,out,False,verb/frame,i want the black bowl in the bottom drawer of the cabinet,100,place the black bowl in the bottom drawer of the cabinet,100,0,1.0,1.0,1.0,0,0,False,False,False
libero_90/24,out,False,verb/frame,put the black bowl in the bottom drawer of the cabinet,100,i want the black bowl in the bottom drawer of the cabinet,100,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/24,out,False,verb/frame,put the black bowl in the bottom drawer of the cabinet,100,place the black bowl in the bottom drawer of the cabinet,100,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/24,out,False,noun/other,put the black bowl in the bottom drawer of the cabinet,100,put the black bowl in the bottom drawer of the cupboard,100,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/24,out,False,color,put the black bowl in the bottom drawer of the cabinet,100,put the black bowl in the bottom drawer of the wooden cabinet,100,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/24,out,False,noun/other,put the black bowl in the bottom drawer of the cabinet,100,put the black dish in the bottom drawer of the cabinet,100,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/24,out,False,noun/other,put the black bowl in the bottom drawer of the cupboard,100,put the black bowl in the bottom drawer of the wooden cabinet,100,0,1.0,1.0,1.0,0,0,False,False,False
libero_90/24,out,False,verb/frame,the black bowl goes in the bottom drawer of the cabinet,100,the black bowl should be put in the bottom drawer of the cabinet,100,0,1.0,1.0,1.0,0,0,False,False,False
libero_90/25,out,False,verb/frame,put the black bowl on top of the cabinet,0,place the black bowl on top of the cabinet,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/25,out,False,preposition/particle,put the black bowl on top of the cabinet,0,put the black bowl atop the cabinet,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/25,out,False,color,put the black bowl on top of the cabinet,0,put the bowl on top of the cabinet,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/25,out,False,color,put the black bowl on top of the cabinet,0,put the grey bowl on top of the cabinet,0,0,1.0,1.0,1.0,0,0,False,True,True
libero_90/25,out,False,color,put the bowl on top of the cabinet,0,put the grey bowl on top of the cabinet,0,0,1.0,1.0,1.0,0,0,False,False,False
libero_90/28,out,False,verb/frame,close the open top drawer of the white cabinet on the left,48,push in the open top drawer of the white cabinet on the left,30,-18,0.06500731219208666,0.10040717163394025,0.063568115234375,14,5,False,False,False
libero_90/28,out,False,noun/other,close the top drawer of the cabinet,38,close the upper drawer of the cabinet,38,0,1.0,1.0,1.0,8,8,False,True,True
libero_90/30,out,False,noun/other,put the black bowl on the plate,76,put the black bowl on the dish,20,-56,2.088746156416682e-08,2.8890933972659572e-08,1.941574737429619e-06,32,4,True,True,True
