task,phrases,best,worst,median,rollout_measured,thin_evidence,spread
take bowl off plate,21,8.5992,-1.2645,6.8475,0,0,9.8637
end effector transition from object to object,33,8.7231,-0.8503,3.9569,0,0,9.573400000000001
put knife on cutting board,21,7.6037,-1.519,6.5887,0,0,9.1227
pick up glass cup,27,7.342,-1.5844,6.0905,0,0,8.9264
take sushi off plate,20,8.0572,-0.8363,7.589499999999999,0,0,8.8935
Fold the cloth from bottom left to top right,17,7.8242,-0.9997,5.1696,0,0,8.8239
take clothes out of laundry machine,27,8.1004,-0.3897,7.2601,0,0,8.4901
take spatula off plate sink,27,7.6087,-0.6718,6.2654,0,0,8.2805
take bowl off plate cardboard fence,24,8.6199,0.6745,6.71725,0,0,7.945399999999999
fold the cloth from bottom to top,22,8.0147,0.1064,5.52725,0,0,7.9083
take the red object out of the pot and put it on the left burner,32,7.7284,-0.0338,1.2576999999999998,0,0,7.7622
topple basil bottle cardboard fence,19,7.8921,0.5879,4.7759,0,0,7.3042
pick up pot from sink,27,6.8246,-0.3638,4.9758,0,0,7.188400000000001
fold cloth in half,21,7.8803,0.7708,7.082,0,0,7.1095
topple hot sauce bottle cardboard fence,18,8.0554,0.9751,6.15755,0,0,7.0803
put bowl on plate cardboard fence,21,8.5432,1.5311,8.1183,0,0,7.0121
unfold the cloth from right to left,26,7.348,0.3462,5.93145,0,0,7.0018
fold the cloth from left to right,27,8.2436,1.3557,6.2686,0,0,6.887900000000001
unfold the cloth from bottom to top,24,7.5662,0.6923,4.3803,0,0,6.8739
put spatula on plate sink,36,7.9755,1.1812,6.5547,0,0,6.7943
unfold the cloth from bottom left to top right,23,7.8767,1.25,5.2621,0,0,6.6267
put cup on plate,30,7.7249,1.1055,6.33815,0,0,6.6194
put blueberries on plate sink,20,8.1576,1.6758,7.4852,0,0,6.481800000000001
put pan from sink into drying rack,23,7.8271,1.3862,7.4205,0,0,6.440899999999999
put the yellow duck in the drawer,23,7.6698,1.2414,3.0715,0,0,6.4284
fold the cloth from bottom left to top right,27,7.88,1.4536,6.4877,0,0,6.4264
put potato in pot cardboard fence,19,8.3666,2.0235,6.2549,0,0,6.3431
right pepper shaker,19,7.4548,1.1299,2.8969,0,0,6.3248999999999995
put sushi in pot cardboard fence,19,8.3975,2.0788,7.3231,0,0,6.318700000000001
open cabinet,19,7.9554,1.6728,7.719,0,0,6.2826
put lid on pot or pan,26,7.6396,1.3593,6.27435,0,0,6.2802999999999995
take corn out of bowl sink,18,7.5751,1.32,6.76275,0,0,6.2551
put lid on pot,20,7.8892,1.6352,6.2677499999999995,0,0,6.254
take broccoli out of pan,20,7.8163,1.5942,7.0176,0,0,6.2221
move drying rack out of sink,21,8.1011,1.8855,6.4394,0,0,6.2156
put knife in pot cardboard fence,22,8.455,2.276,6.6251999999999995,0,0,6.179
take the eggplant and put it between the two right burners,19,8.0608,1.985,3.1003,0,0,6.0758
put the blue figure on the top edge of the cloth,24,7.8628,1.8894,3.5950499999999996,0,0,5.9734
put bowl on plate,21,8.6589,2.752,8.4009,0,0,5.906899999999999
turn faucet right,20,7.9087,2.2706,6.1362000000000005,0,0,5.6381
take carrot out of pot cardboard fence,24,8.3519,2.7723,7.8654,0,0,5.579600000000001
Close the drawer,17,8.1128,2.5492,7.4024,0,0,5.5636
put pan on stove from sink,19,7.2149,1.6759,6.8363,0,0,5.539
put cup from sink to drying rack,25,7.3728,1.9186,6.6199,0,0,5.4542
put beet in pot sink,26,8.1552,2.7021,6.86205,0,0,5.453100000000001
take sushi out of pot cardboard fence,20,8.1595,2.741,6.386699999999999,0,0,5.4185
open large4fbox flaps,24,8.0935,2.6796,7.9342500000000005,0,0,5.4139
zip zipper bag,21,7.7704,2.3975,7.1526,0,0,5.3729000000000005
put pot or pan in sink,18,7.5317,2.2067,6.7094000000000005,0,0,5.324999999999999
upright basil bottle cardboard fence,25,7.868,2.5615,6.4822,0,0,5.3065
put pot on stove which is near stove,20,7.658,2.3945,5.71555,0,0,5.2635000000000005
turn faucet front to left,21,7.9278,2.6959,7.6988,0,0,5.2319
fold the cloth from the top left to the bottom right,27,8.1659,3.049,6.4718,0,0,5.116900000000001
take spoon out of bowl sink,20,7.2008,2.2037,5.68715,0,0,4.9971
open brown1fbox flap,20,8.0659,3.2618,7.7714,0,0,4.804099999999999
put potato on plate,22,7.9652,3.1822,7.626,0,0,4.783
closed the drawer,19,8.2454,3.4949,7.5313,0,0,4.750500000000001
put the ball in the cup,16,7.4387,2.6947,4.182449999999999,0,0,4.744
unfold the cloth from top to bottom,32,8.1918,3.4872,5.6759,0,0,4.704600000000001
pick up violet Allen key,22,7.841,3.2079,6.8528,0,0,4.633100000000001
unfold the cloth from top right to bottom left,18,8.1875,3.5662,5.647,0,0,4.6213
open fridge,24,7.93,3.3518,7.7405,0,0,4.5782
put sushi on plate,21,8.0374,3.4864,7.1819,0,0,4.551
pour almonds in pot,20,8.1768,3.6269,7.9963,0,0,4.5499
put cup from counter or drying rack into sink,19,6.0962,1.5635,5.3046,0,0,4.5327
put pot in sink,23,7.8998,3.3779,7.1266,0,0,4.5219000000000005
wipe pot with sponge,22,7.7658,3.2766,7.371549999999999,0,0,4.489199999999999
put carrot in pot cardboard fence,20,8.3616,3.9125,6.3668499999999995,0,0,4.4491
put banana in pot cardboard fence,20,8.3901,3.9462,7.18005,0,0,4.4439
put broccoli in pot,25,8.0293,3.5934,6.4773,0,0,4.435899999999999
turn faucet left,24,7.634,3.2217,6.7957,0,0,4.4123
put detergent in sink,17,8.077,3.7111,7.1265,0,0,4.3659
pick up bowl and put in small4fbox,35,8.0349,3.6705,6.7987,0,0,4.3644
put pan in sink,27,7.7068,3.4182,7.0153,0,0,4.288600000000001
pick up sponge and wipe plate,20,8.3044,4.0804,8.1402,0,0,4.223999999999999
close small4fbox flaps,35,8.3072,4.1017,7.6661,0,0,4.2055
unfold the cloth from left to right,19,7.5712,3.4023,5.7546,0,0,4.168900000000001
unfold the cloth from bottom right to top left,22,7.9757,3.9075,6.6255,0,0,4.068199999999999
unzip zipper bag,19,7.5128,3.4626,6.9515,0,0,4.0502
flip cup upright,29,7.1609,3.1156,6.6664,0,0,4.045299999999999
open oven,23,8.533,4.5114,8.4177,0,0,4.021599999999999
take lid off pot,19,7.7718,3.7996,6.9244,0,0,3.9722
open low fridge,20,8.1584,4.2173,7.92365,0,0,3.9411000000000005
end effector reaching pot or pan,19,8.4079,4.4782,5.0096,0,0,3.9296999999999995
turn lever vertical to front,23,7.2268,3.3055,6.072,0,0,3.9213
open white1fbox flap,20,8.1722,4.2539,7.69305,0,0,3.9183000000000003
put cap on container,18,7.7742,3.8889,6.6159,0,0,3.8853000000000004
take lid off pot or pan,19,7.1585,3.3058,5.3788,0,0,3.8527
put brush into pot or pan,23,7.1382,3.2986,6.2293,0,0,3.8396000000000003
move the cloth to the left of the table,24,7.775,3.939,4.792949999999999,0,0,3.8360000000000003
end effector reaching corn,22,8.4446,4.6195,6.801,0,0,3.825099999999999
fold the cloth from bottom right to top left,20,8.1773,4.3652,6.8621,0,0,3.812100000000001
pick up any cup,20,7.6006,3.8162,6.8133,0,0,3.7844
pick up blue pen and put into drawer,21,8.1297,4.3907,7.2844,0,0,3.739
put lid on stove,21,7.2365,3.5027,5.5078,0,0,3.7338000000000005
turn faucet front to right,28,8.5638,4.8308,8.24635,0,0,3.7330000000000005
put banana in colander,24,8.4922,4.7796,7.850899999999999,0,0,3.7126
put red bottle in sink,19,8.0949,4.4083,7.8952,0,0,3.686600000000001
put sweet potato in pot,21,7.1946,3.5093,6.8686,0,0,3.6853000000000002
end effector reaching salmon,20,8.4935,4.8088,6.39215,0,0,3.6846999999999994
close the drawer,21,8.5851,4.9394,7.7414,0,0,3.6457000000000006
close large4fbox flaps,20,8.3944,4.7612,8.241299999999999,0,0,3.6331999999999995
fold the cloth from top right to bottom left,19,8.3713,4.7478,6.7498,0,0,3.6235
put pear in bowl,17,8.1192,4.5191,7.6746,0,0,3.6000999999999994
close brown1fbox flap,22,8.177,4.6248,7.91165,0,0,3.5522
pick up box cutter and put into drawer,21,8.078,4.572,7.7691,0,0,3.5059999999999993
put pan from stove to sink,28,6.4253,2.9218,5.72535,0,0,3.5035
pick up scissors and put into drawer,18,7.7956,4.3006,7.6289,0,0,3.495
put corn in bowl sink,18,7.6314,4.1572,6.97075,0,0,3.4742000000000006
put corn in pan which is on stove,29,7.2702,3.8193,5.8983,0,0,3.4509
put corn in pot which is in sink,26,7.1788,3.7321,6.21475,0,0,3.4467
put clothes in laundry machine,26,8.0531,4.6165,7.7674,0,0,3.4366000000000003
put carrot on plate,18,7.8441,4.4375,7.5266,0,0,3.4066
put broccoli in bowl,20,7.8242,4.4578,7.0992,0,0,3.3664000000000005
