task,phrase,kind,base_kind,score,logit,z,grip,proxy_imputed,n_ctx,gt_success,source
Close the drawer,"If it is not too much of an imposition, and assuming you have no further need to access its contents, I would greatly appreciate it if you could apply forward pressure to the protruding storage cavity to return it to a completely flush state.",adversarial,,0.0,2.5492,-7.6667,0.1913,False,64,,generated_adversarial
Close the drawer,"In order to restore the exterior profile of the cabinetry, kindly exert a steady inward force against the front fascia of the protruding sliding compartment until its tracks are entirely retracted into the housing.",adversarial,,0.11274331884670896,3.1765,-6.9788,0.1629,False,64,,generated_adversarial
Close the drawer,"With the objective of minimizing the spatial footprint of the current workspace, exert sufficient inward force upon the extended sliding receptacle to render it entirely sealed.",adversarial,,0.13285690250607995,3.2884,-6.4503,0.1738,False,64,,generated_adversarial
Close the drawer,"Regarding the sliding wooden receptacle that is currently extended outwards, execute the necessary mechanical motion to push it entirely back into its surrounding frame so that it remains definitively shut.",adversarial,,0.24542702020002555,3.9147,-6.1707,0.1295,False,64,,generated_adversarial
Close the drawer,Make sure the sliding compartment is fully pushed in.,natural,,0.5831043391340544,5.7934,-3.2628,0.0777,False,64,,generated_natural
Close the drawer,Give the open drawer a push until it shuts.,natural,,0.8161363411234099,7.0898,-0.8416,0.0582,False,64,,generated_natural
Close the drawer,Slide the wooden drawer shut.,natural,,0.8441326684545384,7.2456,-0.5595,0.0555,False,64,,generated_natural
Close the drawer,Could you push the drawer back in?,natural,,0.8681883099391844,7.3794,-0.3071,0.0536,False,64,,generated_natural
Close the drawer,close the toy drawer,search,,0.8723229302753823,7.4024,-0.2384,0.0543,False,64,,search_boards
Close the drawer,Pop the drawer closed for me.,natural,,0.9059353129801275,7.5895,-0.0171,0.0465,False,64,,generated_natural
Close the drawer,close the wooden drawer,search,,0.9080600356392918,7.6013,0.2102,0.0543,False,64,,search_boards
Close the drawer,Go ahead and close up that drawer.,natural,,0.9118104438557871,7.6221,0.1027,0.0483,False,64,,generated_natural
Close the drawer,push the drawer in,search,,0.9391978295457677,7.7745,0.4886,0.05,False,64,,search_boards
Close the drawer,Please close the drawer all the way.,natural,,0.9399139678822922,7.7785,0.5164,0.0507,False,64,,generated_natural
Close the drawer,close the drawer using its handle,search,,0.9417898166450499,7.7889,0.4852,0.0486,False,64,,search_boards
Close the drawer,Shut the drawer.,natural,,0.9431601075239665,7.7966,0.5786,0.0516,False,64,,generated_natural
Close the drawer,Close the drawer,original,,1.0,8.1128,0.9076,0.0365,False,64,,search_boards
Fold the cloth from bottom left to top right,"Provided your manipulators are unencumbered, grasp the quadrant of the fabric occupying the furthest position down and to the left, and transport it over to the diametrically opposed upper right sector so as to halve its overall footprint.",adversarial,,0.0,-0.9997,-9.2328,0.4434,False,64,,generated_adversarial
