task,color,bare,succ_bare,n_bare,colored,succ_col,n_col,delta_pp,z
widowx_cube_on_plate_clean,yellow,Pick up the green cube and put it on the plate.,89.6,48,pick up the green cube and put it on the yellow plate,41.7,24,-47.9,4.35
widowx_nut_on_plate_clean,grey,drop the nut on the yellow plate,45.8,24,drop the grey nut on the yellow plate,4.2,24,-41.7,3.33
widowx_cube_on_plate_clean,yellow,pick up the green cube and put it on the plate,83.3,24,pick up the green cube and put it on the yellow plate,41.7,24,-41.7,2.98
widowx_eggplant_on_keyboard_clean,purple,The eggplant needs to end up on the black keyboard.,58.3,24,The purple eggplant needs to end up on the black keyboard.,20.8,48,-37.5,3.18
widowx_cube_on_plate_clean,green,Place the green block on the plate.,86.7,120,Place the green block on the green plate.,50.0,24,-36.7,4.14
widowx_cube_on_plate_clean,yellow,put the small green cube on the plate,85.0,120,Put the small green cube on the yellow plate.,50.0,24,-35.0,3.85
widowx_cube_on_plate_clean,yellow,Put the small green cube on the plate.,83.5,480,Put the small green cube on the yellow plate.,50.0,24,-33.5,4.17
widowx_cube_on_plate_clean,yellow,Place the green cube on the plate.,83.3,96,place the green cube on the yellow plate,50.0,24,-33.3,3.45
widowx_cube_on_plate_clean,yellow,move the green cube to the plate.,79.2,24,Move the green cube to the yellow plate.,45.8,120,-33.3,2.98
widowx_pepsi_on_plate_clean,yellow,place the pepsi can on the plate,54.2,96,Place the Pepsi can on the yellow plate.,20.8,24,-33.3,2.92
widowx_pepsi_on_plate_clean,yellow,Put the blue coke can onto the plate.,64.6,48,Put the blue coke can onto the yellow plate.,32.3,96,-32.3,3.69
widowx_nut_on_plate_clean,yellow,Place the grey nut on the plate,45.8,48,place the grey nut on the yellow plate,15.3,72,-30.6,3.67
widowx_nut_on_plate_clean,yellow,place the grey nut on the plate,45.8,48,place the grey nut on the yellow plate,15.3,72,-30.6,3.67
widowx_cube_on_plate_clean,yellow,place the green cube on the plate,79.2,24,place the green cube on the yellow plate,50.0,24,-29.2,2.11
widowx_eggplant_on_keyboard_clean,purple,Transfer the eggplant to the black keyboard.,37.5,24,Transfer the purple eggplant to the black keyboard.,8.3,24,-29.2,2.4
widowx_cube_on_plate_clean,yellow,Move the green cube to the plate.,75.0,24,Move the green cube to the yellow plate.,45.8,120,-29.2,2.61
widowx_cube_on_plate_clean,yellow,place the green cube on the plate.,79.2,48,place the green cube on the yellow plate,50.0,24,-29.2,2.53
widowx_pepsi_on_plate_clean,yellow,Move the blue coke can onto the plate.,58.3,24,Move the blue coke can onto the yellow plate.,29.2,48,-29.2,2.39
widowx_eggplant_on_keyboard_clean,purple,Place the eggplant on top of the black keyboard.,41.7,24,Place the purple eggplant on top of the black keyboard.,13.7,168,-28.0,3.4
widowx_nut_on_plate_clean,yellow,put the grey nut on the plate,43.8,48,Put the grey nut on the yellow plate.,15.8,120,-27.9,3.84
widowx_nut_on_plate_clean,yellow,place the grey nut on the plate,45.8,48,Place the grey nut on the yellow plate.,18.1,144,-27.8,3.85
widowx_nut_on_plate_clean,yellow,Set the grey nut on the plate,45.8,48,set the grey nut on the yellow plate,18.1,288,-27.8,4.3
