# NOTE (sim phase): base_logit / rewrite_logit / delta here are REAL rollout success rates in percent (0-100), not proxy logits.
task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
widowx_carrot_on_plate,adversarial,Proceed to grasp the carrot and subsequently establish its position atop the dining plate.,33.3333,Pick up the carrot and put it on the plate.,16.6667,-16.6667,True,6.0
widowx_coke_can_on_plate_clean,adversarial,"Assuming the plate is readily accessible, proceed to transport the red tin of cola directly onto its surface.",0.0,Pick up the red tin of cola and put it on the plate.,0.0,0.0,True,6.0
widowx_put_eggplant_in_basket,adversarial,Deposit the bulbous purple vegetable directly into the confines of the yellow woven basket.,100.0,Put the purple vegetable in the yellow basket.,100.0,0.0,True,18.0
widowx_spoon_on_towel,adversarial,It would be highly appreciated if you could relocate the concave piece of silverware so that it resides atop the woven textile.,50.0,Pick up the green-handled spoon and put it on the blue cloth.,50.0,0.0,True,18.0
widowx_coke_can_on_ramekin_clean,adversarial,"Should you be capable of manipulating the cylindrical cola container, proceed to hoist it and guide it downward until it is securely housed in the ramekin.",0.0,Pick up the red can and put it in the white ramekin.,16.6667,16.6667,True,6.0
widowx_carrot_on_plate,adversarial,"The carrot, which is presently situated in its initial starting location, must be lifted and maneuvered until it occupies the plate.",16.6667,Pick up the carrot and place it on the plate.,33.3333,16.6667,True,6.0
widowx_stack_cube,adversarial,"Without disturbing the surrounding items, it is required that the block of green coloration be made to rest atop its yellow counterpart.",0.0,Pick up the green block and place it on the yellow block.,33.3333,33.3333,True,6.0
widowx_coke_can_on_plate_clean,adversarial,Ensure that the plate is made to bear the weight of the red aluminum beverage cylinder without delay.,0.0,Put the red soda can on the plate.,33.3333,33.3333,True,6.0
widowx_spoon_on_towel,adversarial,Let the spoon be taken up by your manipulators and carried across the workspace until it is ultimately situated on the towel.,0.0,Pick up the spoon and move it to the towel.,33.3333,33.3333,True,6.0
widowx_carrot_on_plate,adversarial,"Given the current arrangement of objects, ensure that the carrot is swiftly conveyed to the surface of the plate.",16.6667,Convey the carrot to the plate.,50.0,33.3333,True,18.0
widowx_carrot_on_wheel_clean,adversarial,The elongated orange taproot must be elevated from its current location and meticulously positioned such that it is fully supported by the wheel.,0.0,Place the carrot on the wheel.,33.3333,33.3333,True,18.0
widowx_stack_cube,adversarial,"Assuming the yellow block is currently clear, elevate the green block until it can be deposited directly upon its upper surface.",0.0,Pick up the green block and put it on the yellow block.,50.0,50.0,True,6.0
widowx_spoon_on_towel,adversarial,"Rather than leaving it where it currently sits, take the device we use to eat cereal and leave it securely upon the towel.",0.0,Take the spoon and place it on the blue cloth.,50.0,50.0,True,6.0
widowx_stack_cube,adversarial,"Unto the yellow block, provided it remains stationary, arrange for the green block to be vertically superimposed.",0.0,Stack the green block on the yellow block.,66.6667,66.6667,True,18.0
widowx_coke_can_on_plate_clean,natural,Grab that red aluminum can and set it on the plate.,66.6667,Grab the red soda can and put it on the plate.,0.0,-66.6667,True,18.0
widowx_coke_can_on_ramekin_clean,natural,place the red can upright inside the white bowl,50.0,put the red can upright in the white bowl,33.3333,-16.6667,True,6.0
widowx_stack_cube,natural,Put the green one on top of the yellow one.,33.3333,Put the green block on top of the yellow block.,16.6667,-16.6667,True,6.0
widowx_coke_can_on_ramekin_clean,natural,place the cola can standing up inside the white bowl,50.0,place the red soda can upright in the white bowl,50.0,0.0,True,6.0
widowx_put_eggplant_in_basket,natural,Slide the eggplant into the yellow basket.,83.3333,Slide the purple eggplant into the yellow basket.,100.0,16.6667,True,6.0
widowx_carrot_on_plate,natural,Please shift the carrot onto the plate.,16.6667,Shift the carrot onto the plate.,33.3333,16.6667,True,6.0
widowx_carrot_on_keyboard_clean,natural,place the carrot across the black keyboard,0.0,place the carrot across the keyboard,16.6667,16.6667,True,6.0
widowx_stack_cube,natural,green block on yellow block,16.6667,put green block on yellow block,33.3333,16.6667,True,6.0
widowx_coke_can_on_ramekin_clean,natural,place the cola can inside the white bowl,0.0,place the red can in the white bowl,50.0,50.0,True,6.0
