source,arm,task,phrase,success_pct,n_episodes
eval12nom_frozen.parquet,base,widowx_carrot_on_keyboard_clean,pick up the orange carrot and place it on the black keyboard,25.3,288
sfteval12_frozen_trace.parquet,frozen_trace,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on the black keyboard.,22.9,288
eval12_B_v6step_0060.parquet,tuned,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on the black keyboard.,22.9,288
eval12_B_v6step_0120.parquet,tuned,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on the black keyboard.,22.9,288
eval12_B_v6step_0080.parquet,tuned,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on the black keyboard.,22.9,288
eval12nom_passthrough_valtier.parquet,tuned,widowx_carrot_on_keyboard_clean,put carrot on keyboard,17.7,288
eval12nom_B_s260.parquet,tuned,widowx_carrot_on_keyboard_clean,put carrot on keyboard,17.7,288
eval12nom_A_s240.parquet,tuned,widowx_carrot_on_keyboard_clean,place carrot on keyboard,17.0,288
sfteval12_sft_v2.parquet,sft_v2,widowx_carrot_on_keyboard_clean,put the orange carrot on top of the keyboard,16.7,288
sfteval12_frozen_selftrace.parquet,frozen_selftrace,widowx_carrot_on_keyboard_clean,Pick up the carrot and put it on the keyboard.,7.3,288
sfteval12_sft.parquet,sft,widowx_carrot_on_keyboard_clean,Place the carrot above the mouse pad,3.1,288
sfteval12_sft_trace.parquet,sft_trace,widowx_carrot_on_keyboard_clean,pick up the carrot and put it above the keyboard,1.4,288
sfteval12_frozen_bare.parquet,frozen_bare,widowx_carrot_on_keyboard_clean,"Locate the long, orange vegetable with green leaves and place it carefully on top of the black peripheral device used for typing.",0.3,288
eval12nom_frozen.parquet,base,widowx_carrot_on_plate,pick up the orange carrot and place it on the light green plate,45.5,288
sfteval12_frozen_trace.parquet,frozen_trace,widowx_carrot_on_plate,Pick up the orange carrot and place it on the green plate.,45.1,288
eval12_B_v6step_0060.parquet,tuned,widowx_carrot_on_plate,Pick up the orange carrot and place it on the green plate.,45.1,288
eval12_B_v6step_0080.parquet,tuned,widowx_carrot_on_plate,Pick up the orange carrot and place it on the green plate.,45.1,288
eval12nom_A_s240.parquet,tuned,widowx_carrot_on_plate,put carrot on plate,44.8,288
eval12nom_B_s260.parquet,tuned,widowx_carrot_on_plate,put carrot on plate,44.8,288
eval12_B_v6step_0120.parquet,tuned,widowx_carrot_on_plate,Place the orange carrot on the green plate.,42.4,288
sfteval12_frozen_selftrace.parquet,frozen_selftrace,widowx_carrot_on_plate,Place the carrot on the plate.,42.0,288
