task,phrase,kind,proxy,n_ctx,gt_success,source
Fold the cloth from bottom left to top right,Fold the cloth from bottom left to top right,original,,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth from bottom left corner to top right,search,,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth diagonally from bottom-left to top-right,search,,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth diagonally towards the top right,search,,80,,search_boards
Fold the cloth from bottom left to top right,fold the bottom left of the blue towel up to the top right,search,,80,,search_boards
close brown1fbox flap,close brown1fbox flap,original,,80,,search_boards
close brown1fbox flap,close the left lid of the brown box,search,,80,,search_boards
close brown1fbox flap,close the left lid of the box,search,,80,,search_boards
close brown1fbox flap,close the box lid,search,,80,,search_boards
close brown1fbox flap,close the lid of the cardboard box,search,,80,,search_boards
close brown1fbox flap,close the brown box lid,search,,80,,search_boards
close brown1fbox flap,shut the lid on the brown box,search,,80,,search_boards
close fridge,shut the white cabinet door,search,,80,,search_boards
close fridge,close the fridge,search,,80,,search_boards
close fridge,shut the fridge,search,,80,,search_boards
close fridge,close the white fridge,search,,80,,search_boards
close fridge,close fridge,original,,80,,search_boards
close fridge,shut the white fridge,search,,80,,search_boards
close fridge,shut the fridge door,search,,80,,search_boards
close low fridge,close low fridge,original,,80,,search_boards
close low fridge,shut the white door,search,,80,,search_boards
close low fridge,close the white cupboard door,search,,80,,search_boards
close low fridge,close the lower white door,search,,80,,search_boards
close low fridge,close the white door,search,,80,,search_boards
close low fridge,shut the white cupboard door,search,,80,,search_boards
close low fridge,shut the lower cabinet door,search,,80,,search_boards
close low fridge,close the cabinet below the dispenser,search,,80,,search_boards
close microwave,push the wooden microwave shut,search,,80,,search_boards
close microwave,push the white microwave shut,search,,80,,search_boards
close microwave,shut the wooden microwave,search,,80,,search_boards
close microwave,shut the white microwave,search,,80,,search_boards
close microwave,close microwave,original,,80,,search_boards
close microwave,shut the microwave,search,,80,,search_boards
close microwave,close the wooden microwave,search,,80,,search_boards
close microwave,shut the microwave door,search,,80,,search_boards
close microwave,shut the white microwave door,search,,80,,search_boards
close oven,push the oven door to shut it,search,,80,,search_boards
close oven,push the oven door back to close it,search,,80,,search_boards
close oven,push the open oven door shut,search,,80,,search_boards
close oven,push the open oven door until it is shut,search,,80,,search_boards
close oven,close oven,original,,80,,search_boards
close oven,push the oven door to close it,search,,80,,search_boards
close oven,close the oven door completely,search,,80,,search_boards
close oven,close the open oven door,search,,80,,search_boards
close oven,shut the open oven door,search,,80,,search_boards
close small4fbox flaps,close the box flaps on the stove,search,,80,,search_boards
close small4fbox flaps,close small4fbox flaps,original,,80,,search_boards
close small4fbox flaps,close the small box,search,,80,,search_boards
close small4fbox flaps,shut the small box,search,,80,,search_boards
close small4fbox flaps,close the small box on the stove,search,,80,,search_boards
close small4fbox flaps,shut the flaps of the small cardboard box,search,,80,,search_boards
close small4fbox flaps,fold the flaps of the box closed,search,,80,,search_boards
close white1fbox flap,close white box's flap,search,,80,,search_boards
close white1fbox flap,close white1fbox flap,original,,80,,search_boards
close white1fbox flap,close the flap on the white box,search,,80,,search_boards
close white1fbox flap,close flap of the white box,search,,80,,search_boards
close white1fbox flap,fold down the white box flap,search,,80,,search_boards
close white1fbox flap,close white box flap,search,,80,,search_boards
end effector reaching banana,end effector reaching banana,original,,80,,search_boards
end effector reaching banana,reach toward the yellow banana,search,,80,,search_boards
