task,phrase,kind,base_kind,score,logit,z,grip,proxy_imputed,n_ctx,source
Close the drawer,"If it is not too much of an imposition, and assuming you have no further need to access its contents, I would greatly appreciate it if you could apply forward pressure to the protruding storage cavity to return it to a completely flush state.",adversarial,,0.0,2.5492,-7.6667,0.1913,False,64,generated_adversarial
Close the drawer,"In order to restore the exterior profile of the cabinetry, kindly exert a steady inward force against the front fascia of the protruding sliding compartment until its tracks are entirely retracted into the housing.",adversarial,,0.1127433188467089,3.1765,-6.9788,0.1629,False,64,generated_adversarial
Close the drawer,"With the objective of minimizing the spatial footprint of the current workspace, exert sufficient inward force upon the extended sliding receptacle to render it entirely sealed.",adversarial,,0.1328569025060799,3.2884,-6.4503,0.1738,False,64,generated_adversarial
Close the drawer,"Regarding the sliding wooden receptacle that is currently extended outwards, execute the necessary mechanical motion to push it entirely back into its surrounding frame so that it remains definitively shut.",adversarial,,0.2454270202000255,3.9147,-6.1707,0.1295,False,64,generated_adversarial
Close the drawer,Make sure the sliding compartment is fully pushed in.,natural,,0.5831043391340544,5.7934,-3.2628,0.0777,False,64,generated_natural
Close the drawer,Give the open drawer a push until it shuts.,natural,,0.8161363411234099,7.0898,-0.8416,0.0582,False,64,generated_natural
Close the drawer,Slide the wooden drawer shut.,natural,,0.8441326684545384,7.2456,-0.5595,0.0555,False,64,generated_natural
Close the drawer,Could you push the drawer back in?,natural,,0.8681883099391844,7.3794,-0.3071,0.0536,False,64,generated_natural
Close the drawer,close the toy drawer,search,,0.8723229302753823,7.4024,-0.2384,0.0543,False,64,search_boards
Close the drawer,Pop the drawer closed for me.,natural,,0.9059353129801276,7.5895,-0.0171,0.0465,False,64,generated_natural
Close the drawer,close the wooden drawer,search,,0.9080600356392918,7.6013,0.2102,0.0543,False,64,search_boards
Close the drawer,Go ahead and close up that drawer.,natural,,0.9118104438557872,7.6221,0.1027,0.0483,False,64,generated_natural
Close the drawer,push the drawer in,search,,0.9391978295457676,7.7745,0.4886,0.05,False,64,search_boards
Close the drawer,Please close the drawer all the way.,natural,,0.9399139678822922,7.7785,0.5164,0.0507,False,64,generated_natural
Close the drawer,close the drawer using its handle,search,,0.94178981664505,7.7889,0.4852,0.0486,False,64,search_boards
Close the drawer,Shut the drawer.,natural,,0.9431601075239664,7.7966,0.5786,0.0516,False,64,generated_natural
Close the drawer,Close the drawer,original,,1.0,8.1128,0.9076,0.0365,False,64,search_boards
Fold the cloth from bottom left to top right,"Provided your manipulators are unencumbered, grasp the quadrant of the fabric occupying the furthest position down and to the left, and transport it over to the diametrically opposed upper right sector so as to halve its overall footprint.",adversarial,,0.0,-0.9997,-9.2328,0.4434,False,64,generated_adversarial
Fold the cloth from bottom left to top right,"Initiate a structural halving of the pliable material positioned before you by seizing the extremity situated furthest down and to the left, subsequently arcing it across the diagonal axis until it aligns perfectly with the uppermost rightward boundary.",adversarial,,0.123157700204266,0.0871,-8.1325,0.3906,False,64,generated_adversarial
Fold the cloth from bottom left to top right,"In order to minimize the exposed surface area of the flexible material before you, kindly elevate its bottommost left extremity and overlay it directly upon the uppermost right boundary.",adversarial,,0.5094428418561304,3.4956,-4.7418,0.2226,False,64,generated_adversarial
Fold the cloth from bottom left to top right,Pull the lower left part of the wiping cloth across to the upper right.,natural,,0.5478835088445005,3.8348,-4.9243,0.1855,False,64,generated_natural
Fold the cloth from bottom left to top right,"Should you be ready to proceed, I require you to execute a diagonal crease upon the woven textile by elevating the extremity situated in the lower left and depositing it squarely upon the upper right limit.",adversarial,,0.5975942506256017,4.2734,-4.3988,0.1674,False,64,generated_adversarial
Fold the cloth from bottom left to top right,Grab the lower left of the fabric and bring it up to the upper right corner.,natural,,0.6120356976001352,4.4009,-4.139,0.1663,False,64,generated_natural
Fold the cloth from bottom left to top right,fold the blue cloth diagonally towards the top right,search,,0.6738062569529365,4.9459,-3.0704,0.1601,False,64,search_boards
Fold the cloth from bottom left to top right,Pick up the bottom left corner of the cloth and drop it onto the top right.,natural,,0.675287305546955,4.959,-3.0379,0.1602,False,64,generated_natural
Fold the cloth from bottom left to top right,Match the bottom left corner of the cloth to the top right one.,natural,,0.6991587613022681,5.1696,-2.4286,0.1655,False,64,generated_natural
Fold the cloth from bottom left to top right,"Fold that rag diagonally, moving the bottom left over to the top right.",natural,,0.7427045544080894,5.5539,-2.1811,0.1413,False,64,generated_natural
Fold the cloth from bottom left to top right,fold the blue cloth diagonally from bottom-left to top-right,search,,0.8094906667003527,6.1432,-1.4217,0.1191,False,64,search_boards
Fold the cloth from bottom left to top right,Bring the bottom-left of the towel up to the top-right to fold it.,natural,,0.8265535106476818,6.2937,-1.7859,0.0915,False,64,generated_natural
Fold the cloth from bottom left to top right,fold the bottom left of the blue towel up to the top right,search,,0.8620020294269539,6.6065,-1.0376,0.0932,False,64,search_boards
Fold the cloth from bottom left to top right,Take the bottom left corner of the cloth and fold it over to the top right.,natural,,0.8709938422185243,6.6859,-0.9733,0.0887,False,64,generated_natural
Fold the cloth from bottom left to top right,Please fold the material by placing the bottom left corner onto the top right.,natural,,0.8778764085511236,6.7466,-0.8172,0.0895,False,64,generated_natural
Fold the cloth from bottom left to top right,fold the blue cloth from bottom left corner to top right,search,,0.9058197508931194,6.9932,-0.1846,0.0926,False,64,search_boards
Fold the cloth from bottom left to top right,Fold the cloth from bottom left to top right,original,,1.0,7.8242,1.0989,0.0695,False,64,search_boards
Open the drawer,"In the event that your manipulators are unencumbered, initiate a rearward translation of the track-mounted cabinetry section until it ceases to be flush with the surrounding framework.",adversarial,,0.0,3.8274,-3.8981,0.2264,False,64,generated_adversarial
Open the drawer,"Assuming no immediate obstructions present themselves, proceed to maneuver the horizontally tracked storage bin along its rails until complete interior access is granted.",adversarial,,0.1330277896495762,4.3853,-3.5386,0.1912,False,64,generated_adversarial
Open the drawer,Apply outward mechanical tension to the front of the sliding storage unit so as to transition it out of its shut position.,adversarial,,0.1345474830832122,4.3917,-4.1625,0.1662,False,64,generated_adversarial
Open the drawer,Slide out that wooden compartment.,natural,,0.2167412724764831,4.7363,-3.062,0.179,False,64,generated_natural
Open the drawer,"Provided that your workspace is clear, would you be so kind as to draw out the sliding wooden receptacle until its contents are entirely exposed?",adversarial,,0.2842765310252214,5.0195,-2.7787,0.1651,False,64,generated_adversarial
Open the drawer,Please draw the drawer outward.,natural,,0.7057096181809523,6.7868,-0.3303,0.1051,False,64,generated_natural
Open the drawer,open the toy drawer with the red face,search,,0.7228245030355088,6.8586,-0.7704,0.0815,False,64,search_boards
Open the drawer,pull open the toy drawer with the red face,search,,0.7714948065611656,7.0627,-0.4974,0.0741,False,64,search_boards
Open the drawer,I need this drawer pulled out.,natural,,0.8141577470183605,7.2416,-0.0548,0.0757,False,64,generated_natural
Open the drawer,pull the handle on the red toy drawer,search,,0.8183576607226931,7.2592,-0.1494,0.0704,False,64,search_boards
Open the drawer,Could you get the drawer open for me?,natural,,0.866880103341313,7.4627,0.443,0.0757,False,64,generated_natural
Open the drawer,use the handle to pull open the red drawer,search,,0.8705249071581628,7.4779,0.002,0.0571,False,64,search_boards
Open the drawer,pull the handle of the red drawer,search,,0.8903620547282425,7.5611,0.2211,0.0583,False,64,search_boards
Open the drawer,pull the handle to open the red toy drawer,search,,0.8978655787996234,7.5926,0.3311,0.0599,False,64,search_boards
Open the drawer,open the small red drawer,search,,0.902813803039688,7.6133,0.3203,0.0576,False,64,search_boards
Open the drawer,Make sure the drawer is fully open.,natural,,0.905301169688324,7.6238,0.7035,0.0717,False,64,generated_natural
Open the drawer,Yank that drawer all the way open for me.,natural,,0.9097096758930552,7.6423,0.5341,0.0634,False,64,generated_natural
Open the drawer,Go ahead and open up the drawer.,natural,,0.9186892508198732,7.6799,0.7608,0.069,False,64,generated_natural
Open the drawer,Pull the drawer open.,natural,,0.9446701074552324,7.7889,0.8605,0.0633,False,64,generated_natural
Open the drawer,Open the drawer,original,,1.0,8.0209,0.9984,0.0482,False,64,search_boards
Open the drawer,"If it wouldn't be an imposition, reach for the fascia of the sliding compartment and draw it outward along its runners until the enclosed void is laid completely bare.",adversarial,,,,,,True,80,generated_adversarial
close brown1fbox flap,It is imperative that the uppermost hinged portion of the umber-colored packing vessel be maneuvered downwards until it rests entirely in a shut disposition.,adversarial,,0.0,4.6248,-5.4572,0.0948,False,64,generated_adversarial
close brown1fbox flap,shut the lid on the brown box,search,,0.1406292337510484,5.1243,-2.7278,0.1578,False,64,search_boards
close brown1fbox flap,close the lid of the cardboard box,search,,0.2525148093477311,5.5218,-3.5937,0.0887,False,64,search_boards
close brown1fbox flap,close the box lid,search,,0.348618201284556,5.8631,-3.8568,0.0482,False,64,search_boards
close brown1fbox flap,close the brown box lid,search,,0.387052942110483,5.9997,-2.3976,0.0934,False,64,search_boards
