task,phrase,kind,base_kind,proxy,proxy_imputed,n_ctx,gt_success,source
Fold the cloth from bottom left to top right,fold the blue cloth diagonally towards the top right,search,,0.962585070181087,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth diagonally from bottom-left to top-right,search,,0.9838853595791972,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth from bottom left corner to top right,search,,0.9876950049013506,True,80,,search_boards
Fold the cloth from bottom left to top right,Fold the cloth from bottom left to top right,original,,0.9914577463020584,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the bottom left of the blue towel up to the top right,search,,0.994615376551742,True,80,,search_boards
close brown1fbox flap,close the lid of the cardboard box,search,,0.9865233649786221,True,80,,search_boards
close brown1fbox flap,close the box lid,search,,0.9906640469163319,True,80,,search_boards
close brown1fbox flap,close the left lid of the box,search,,0.9927422017412618,True,80,,search_boards
close brown1fbox flap,close the left lid of the brown box,search,,0.9928144282804957,True,80,,search_boards
close brown1fbox flap,close brown1fbox flap,original,,0.9943952037697501,True,80,,search_boards
close brown1fbox flap,shut the lid on the brown box,search,,0.9945861996665026,True,80,,search_boards
close brown1fbox flap,close the brown box lid,search,,0.9945995918726102,True,80,,search_boards
close fridge,shut the fridge door,search,,0.9945390663090375,True,80,,search_boards
close fridge,shut the white fridge,search,,0.9945439822180147,True,80,,search_boards
close fridge,close fridge,original,,0.9946165888554802,True,80,,search_boards
close fridge,close the white fridge,search,,0.9946202241381558,True,80,,search_boards
close fridge,shut the fridge,search,,0.9946226463034246,True,80,,search_boards
close fridge,close the fridge,search,,0.9946232516752462,True,80,,search_boards
close fridge,shut the white cabinet door,search,,0.9946431909638773,True,80,,search_boards
close low fridge,close the white door,search,,0.9946365527194648,True,80,,search_boards
close low fridge,close the lower white door,search,,0.9946419846184625,True,80,,search_boards
close low fridge,close the white cupboard door,search,,0.9946468083794993,True,80,,search_boards
close low fridge,shut the white door,search,,0.9946546377803583,True,80,,search_boards
close low fridge,close low fridge,original,,0.994655841292248,True,80,,search_boards
close low fridge,close the cabinet below the dispenser,search,,0.9947073381303436,True,80,,search_boards
close low fridge,shut the lower cabinet door,search,,0.9947091255944929,True,80,,search_boards
close low fridge,shut the white cupboard door,search,,0.9947132940093915,True,80,,search_boards
close microwave,close microwave,original,,0.9945874185034295,True,80,,search_boards
close microwave,shut the white microwave,search,,0.9946044535923253,True,80,,search_boards
close microwave,shut the wooden microwave,search,,0.994608097025216,True,80,,search_boards
close microwave,push the white microwave shut,search,,0.9946135575870098,True,80,,search_boards
close microwave,push the wooden microwave shut,search,,0.9946165888554802,True,80,,search_boards
close microwave,shut the white microwave door,search,,0.9947168643363689,True,80,,search_boards
close microwave,shut the microwave door,search,,0.9947174591576455,True,80,,search_boards
close microwave,close the wooden microwave,search,,0.9947204322649574,True,80,,search_boards
close microwave,shut the microwave,search,,0.9947234037078285,True,80,,search_boards
close oven,close oven,original,,0.9945874185034295,True,80,,search_boards
close oven,push the open oven door until it is shut,search,,0.9946062756147422,True,80,,search_boards
close oven,push the open oven door shut,search,,0.9946087040260884,True,80,,search_boards
close oven,push the oven door back to close it,search,,0.9946250673840424,True,80,,search_boards
close oven,push the oven door to shut it,search,,0.9946274873804892,True,80,,search_boards
close oven,close the open oven door,search,,0.9946756603715615,True,80,,search_boards
close oven,shut the open oven door,search,,0.9946756603715615,True,80,,search_boards
close oven,close the oven door completely,search,,0.9946780577110289,True,80,,search_boards
close oven,push the oven door to close it,search,,0.9946840463635007,True,80,,search_boards
close small4fbox flaps,close the small box on the stove,search,,0.9917090137207586,True,80,,search_boards
close small4fbox flaps,shut the small box,search,,0.9942817833138579,True,80,,search_boards
close small4fbox flaps,close the small box,search,,0.9942843569815006,True,80,,search_boards
close small4fbox flaps,fold the flaps of the box closed,search,,0.9945819315872189,True,80,,search_boards
close small4fbox flaps,shut the flaps of the small cardboard box,search,,0.9945880278195478,True,80,,search_boards
close small4fbox flaps,close small4fbox flaps,original,,0.9946522299477923,True,80,,search_boards
close small4fbox flaps,close the box flaps on the stove,search,,0.9946864399472588,True,80,,search_boards
close white1fbox flap,close flap of the white box,search,,0.9945819315872189,True,80,,search_boards
close white1fbox flap,close the flap on the white box,search,,0.9945898553586133,True,80,,search_boards
close white1fbox flap,close white1fbox flap,original,,0.9946008077108477,True,80,,search_boards
close white1fbox flap,close white box's flap,search,,0.9946099178239498,True,80,,search_boards
close white1fbox flap,close white box flap,search,,0.9946720623482174,True,80,,search_boards
close white1fbox flap,fold down the white box flap,search,,0.9946726621866756,True,80,,search_boards
end effector reaching banana,aim the claw at the toy banana,search,,0.9783271173875083,True,80,,search_boards
end effector reaching banana,navigate to the toy banana,search,,0.9812350260967001,True,80,,search_boards
end effector reaching banana,aim the hand at the toy banana,search,,0.982909852475039,True,80,,search_boards
end effector reaching banana,reach toward the yellow banana,search,,0.9912018933895091,True,80,,search_boards
end effector reaching banana,end effector reaching banana,original,,0.9940238936837933,True,80,,search_boards
end effector reaching banana,grab the yellow banana on the stove,search,,0.99476011168471,True,80,,search_boards
end effector reaching banana,reach toward the toy banana,search,,0.9947607016624711,True,80,,search_boards
end effector reaching banana,aim the claw at the yellow banana,search,,0.9947618814197668,True,80,,search_boards
end effector reaching carrot,touch the carrot on the stove grate,search,,0.9807752325424084,True,80,,search_boards
end effector reaching carrot,touch the orange carrot on the stove,search,,0.9864781432297095,True,80,,search_boards
end effector reaching carrot,touch the orange carrot on the right stove grate,search,,0.9880716384905535,True,80,,search_boards
end effector reaching carrot,point gripper at the orange carrot,search,,0.9885821608078426,True,80,,search_boards
end effector reaching carrot,end effector reaching carrot,original,,0.9946377602812663,True,80,,search_boards
end effector reaching carrot,aim gripper at the orange carrot,search,,0.9946786568781188,True,80,,search_boards
end effector reaching corn,reach for the yellow corn on the stove,search,,0.9187884062388268,True,80,,search_boards
end effector reaching corn,put the gripper next to the corn,search,,0.9920988983105068,True,80,,search_boards
end effector reaching corn,touch the yellow corn,search,,0.9944616806285498,True,80,,search_boards
end effector reaching corn,position gripper next to the corn,search,,0.9945094782150269,True,80,,search_boards
end effector reaching corn,touch the yellow corn with the gripper,search,,0.9945113321326964,True,80,,search_boards
end effector reaching corn,touch the toy corn with the gripper,search,,0.9945359916292988,True,80,,search_boards
end effector reaching corn,end effector reaching corn,original,,0.9945678843222524,True,80,,search_boards
end effector reaching corn,touch the corn with the gripper,search,,0.9945733853866092,True,80,,search_boards
end effector reaching pot or pan,touch the red pot on the burner,search,,0.981821914466763,True,80,,search_boards
end effector reaching pot or pan,reach for the red pot on the burner,search,,0.9905946977211061,True,80,,search_boards
end effector reaching pot or pan,move the gripper to the red toy pot,search,,0.9921210495254158,True,80,,search_boards
end effector reaching pot or pan,bring the gripper to the red toy pot,search,,0.9929788785471512,True,80,,search_boards
end effector reaching pot or pan,touch the red plastic pot,search,,0.9946299062932458,True,80,,search_boards
end effector reaching pot or pan,reach for the red cooking pot,search,,0.9946371565341711,True,80,,search_boards
end effector reaching pot or pan,end effector reaching pot or pan,original,,0.9946528320070509,True,80,,search_boards
end effector reaching salmon,[dry-run:gemini] c8f211e83298,rephrased,search,0.7698281844504054,False,80,,loop_gemini
end effector reaching salmon,bring gripper close to the pink salmon on the stove,search,,0.9787949182392108,True,80,,search_boards
end effector reaching salmon,approach the salmon on the stove,search,,0.9891903353779435,True,80,,search_boards
end effector reaching salmon,approach the salmon with the gripper,search,,0.9895134664786708,True,80,,search_boards
end effector reaching salmon,bring gripper close to the salmon,search,,0.990340356455698,True,80,,search_boards
end effector reaching salmon,end effector reaching salmon,original,,0.9946220408638121,True,80,,search_boards
end effector reaching salmon,approach the salmon slice with the gripper,search,,0.9946876363371118,True,80,,search_boards
end effector reaching salmon,aim gripper at the salmon,search,,0.9946954063428127,True,80,,search_boards
end effector reaching salmon,reach toward the salmon on the stove,search,,0.9946983917956871,True,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink rabbit,search,,0.9946594502110602,True,80,,search_boards
end effector reaching stuffedrabbit,place gripper on the pink toy bunny,search,,0.9946702624297457,True,80,,search_boards
end effector reaching stuffedrabbit,point gripper at the pink bunny toy,search,,0.9946732619579637,True,80,,search_boards
end effector reaching stuffedrabbit,place the gripper on the pink stuffed rabbit,search,,0.9946750608688802,True,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching stuffedrabbit,original,,0.9946798550110181,True,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink stuffed rabbit,search,,0.9946942116934976,True,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink stuffed animal,search,,0.9947013755772832,True,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink bunny,search,,0.9947031650444128,True,80,,search_boards
end effector transition from pot or pan to object,move arm from orange bowl to red wheel,search,,0.40616783961381425,True,80,,search_boards
end effector transition from pot or pan to object,lift hand from orange bowl and move to red and white object,search,,0.406823245761956,True,80,,search_boards
end effector transition from pot or pan to object,move hand from orange bowl to the red cylinder,search,,0.4441022729163934,True,80,,search_boards
end effector transition from pot or pan to object,end effector transition from orange pot to red container,search,,0.992887540090036,True,80,,search_boards
end effector transition from pot or pan to object,end effector transition from orange bowl to red container,search,,0.9932292374665669,True,80,,search_boards
end effector transition from pot or pan to object,end effector transition from bowl to red cylinder,search,,0.9933071933188974,True,80,,search_boards
end effector transition from pot or pan to object,end effector transition from bowl to red object,search,,0.9945199755205163,True,80,,search_boards
end effector transition from pot or pan to object,end effector transition from pot or pan to object,original,,0.9946846448599653,True,80,,search_boards
flip cup upright,flip cup upright,original,,0.98652637445248,True,80,,search_boards
flip cup upright,put cup upright,search,,0.9866849315101048,True,80,,search_boards
flip cup upright,flip cup right side up,search,,0.987719742919196,True,80,,search_boards
flip cup upright,turn cup upright,search,,0.9881355058294281,True,80,,search_boards
flip cup upright,rotate cup upright,search,,0.9884807831984594,True,80,,search_boards
flip cup upright,rotate the blue cup upright,search,,0.9934663208658784,True,80,,search_boards
flip cup upright,flip the small blue cup upright,search,,0.9934758654838816,True,80,,search_boards
flip cup upright,turn the light blue cup upright,search,,0.9934993009563385,True,80,,search_boards
flip orange pot upright in sink,turn the orange cup right side up,search,,0.9521323865863673,True,80,,search_boards
flip orange pot upright in sink,turn the orange cup upright,search,,0.9556409705363995,True,80,,search_boards
flip orange pot upright in sink,flip the orange cup right side up,search,,0.9676734203377687,True,80,,search_boards
