task,phrase,kind,score,logit,z,grip,gt_success,n_ctx
widowx_carrot_on_keyboard_clean,put the orange carrot on the black keyboard,search,0.25,25.0,,,25.0,12.0
widowx_carrot_on_plate,move the carrot from the table to the plate,search,0.41666666666666674,41.66666666666667,,,41.66666666666667,12.0
widowx_carrot_on_plate,put the carrot atop the plate,search,0.33333333333333326,33.33333333333333,,,33.33333333333333,12.0
widowx_carrot_on_plate,put the carrot on the plate or the dish,search,0.25,25.0,,,25.0,12.0
widowx_carrot_on_wheel_clean,put the orange carrot on top of the black wheel,search,0.5,50.0,,,50.0,12.0
widowx_carrot_on_wheel_clean,put the carrot on the red wheel,search,0.33333333333333326,33.33333333333333,,,33.33333333333333,12.0
widowx_carrot_on_wheel_clean,put the carrot on the toy wheel,search,0.25,25.0,,,25.0,12.0
widowx_carrot_on_wheel_clean,move the carrot to the wheel,search,0.16666666666666663,16.666666666666664,,,16.666666666666664,12.0
widowx_carrot_on_wheel_clean,place the orange carrot on the black wheel,search,0.08333333333333331,8.333333333333332,,,8.333333333333332,12.0
widowx_carrot_on_wheel_clean,put the carrot in the center of the wheel,search,0.0,0.0,,,0.0,12.0
widowx_coke_can_on_plate_clean,rest the coke can on the plate,search,0.5833333333333334,58.333333333333336,,,58.333333333333336,12.0
widowx_coke_can_on_plate_clean,pick up the red soda can and put it on the plate,search,0.41666666666666674,41.66666666666667,,,41.66666666666667,12.0
widowx_coke_can_on_plate_clean,put the coke can on the green plate,search,0.41666666666666674,41.66666666666667,,,41.66666666666667,12.0
widowx_coke_can_on_ramekin_clean,put the can in the white bowl,search,0.25,25.0,,,25.0,12.0
widowx_coke_can_on_ramekin_clean,put the coke can in the ramekin,search,0.16666666666666663,16.666666666666664,,,16.666666666666664,12.0
widowx_put_eggplant_in_basket,put the eggplant in the dish rack,search,1.0,100.0,,,100.0,12.0
widowx_put_eggplant_in_basket,place the eggplant in the yellow dish rack,search,1.0,100.0,,,100.0,12.0
widowx_spoon_on_towel,put the green-handled spoon on the blue towel,search,0.6666666666666665,66.66666666666666,,,66.66666666666666,12.0
widowx_spoon_on_towel,put the spoon on the towel or the cloth,search,0.5833333333333334,58.333333333333336,,,58.333333333333336,12.0
widowx_spoon_on_towel,put the green-handled spoon on the blue cloth,search,0.5,50.0,,,50.0,12.0
widowx_spoon_on_towel,put the green spoon on the towel,search,0.5,50.0,,,50.0,12.0
widowx_stack_cube,place the green block on top of the yellow block,search,0.5,50.0,,,50.0,12.0
widowx_stack_cube,place the green block directly on top of the yellow block,search,0.5,50.0,,,50.0,12.0
widowx_stack_cube,grab the green block and place it on top of the yellow block,search,0.41666666666666674,41.66666666666667,,,41.66666666666667,12.0
widowx_stack_cube,put the green block directly on top of the yellow block,search,0.33333333333333326,33.33333333333333,,,33.33333333333333,12.0
