task,phrases,best,worst,median,rollout_measured,thin_evidence,spread
take bowl off plate,21,8.5992,-1.2645,6.8475,0,0,9.8637
pick up pan from stove,23,6.9659,-2.8257,2.22075,0,0,9.7916
pick up pot,22,5.3031,-4.3356,1.0481500000000001,0,0,9.6387
pick up glass cup,18,7.342,-1.5844,6.2435,0,0,8.9264
take sushi off plate,20,8.0572,-0.8363,7.589499999999999,0,0,8.8935
Fold the cloth from bottom left to top right,17,7.8242,-0.9997,5.1696,0,0,8.8239
put knife on cutting board,18,7.1975,-1.519,6.4958,0,0,8.7165
take clothes out of laundry machine,19,8.151,-0.3897,7.1366,0,0,8.5407
take cup off plate,24,7.7679,-0.6557,6.9008,0,0,8.4236
take spatula off plate sink,20,7.587,-0.6718,6.12565,0,0,8.258799999999999
end effector transition from object to object,22,8.7231,0.5835,4.7939,0,0,8.1396
take cucumber out of cup,19,7.9913,-0.037,7.2374,0,0,8.0283
fold the cloth from right to left,27,8.1314,0.1397,6.8874,0,0,7.991699999999999
put knife on cutting board cardboard fence,20,7.9558,0.0104,6.8084,0,0,7.9454
take bowl off plate cardboard fence,20,8.6199,0.6745,6.74555,0,0,7.945399999999999
fold the cloth from bottom to top,17,8.0147,0.1064,6.1569,0,0,7.9083
take the red object out of the pot and put it on the left burner,20,7.7885,-0.0338,0.8365,0,0,7.8223
topple basil bottle cardboard fence,19,7.8921,0.5879,4.7759,0,0,7.3042
pick up pot from sink,21,6.8246,-0.3638,4.9758,0,0,7.188400000000001
fold cloth in half,21,7.8803,0.7708,7.082,0,0,7.1095
fold the cloth from the bottom to the top,19,7.771,0.665,5.2543,0,0,7.106
fold the cloth from the left to the right,21,7.9969,0.9069,6.0384,0,0,7.09
topple hot sauce bottle cardboard fence,18,8.0554,0.9751,6.15755,0,0,7.0803
put bowl on plate cardboard fence,21,8.5432,1.5311,8.1183,0,0,7.0121
unfold the cloth from right to left,21,7.348,0.3462,5.6224,0,0,7.0018
take blueberries off plate sink,17,7.4009,0.4142,5.8056,0,0,6.9867
fold the cloth from left to right,18,8.2436,1.3557,5.1720500000000005,0,0,6.887900000000001
unfold the cloth from bottom to top,19,7.5308,0.6923,3.8186,0,0,6.8385
put the silver lid on the silver pot,18,7.7106,1.0642,6.90855,0,0,6.6464
put spatula on plate sink,19,7.8205,1.1812,5.8299,0,0,6.6393
unfold the cloth from bottom left to top right,16,7.8767,1.25,5.4344,0,0,6.6267
put cup on plate,24,7.7249,1.1055,6.33815,0,0,6.6194
put blueberries on plate sink,20,8.1576,1.6758,7.4852,0,0,6.481800000000001
put pan from sink into drying rack,19,7.8271,1.3862,7.5073,0,0,6.440899999999999
put the yellow duck in the drawer,18,7.6698,1.2414,3.64505,0,0,6.4284
fold the cloth from bottom left to top right,19,7.88,1.4536,6.3516,0,0,6.4264
put potato in pot cardboard fence,19,8.3666,2.0235,6.2549,0,0,6.3431
right pepper shaker,19,7.4548,1.1299,2.8969,0,0,6.3248999999999995
put sushi in pot cardboard fence,19,8.3975,2.0788,7.3231,0,0,6.318700000000001
open cabinet,19,7.9554,1.6728,7.719,0,0,6.2826
put lid on pot or pan,20,7.6396,1.3593,6.301349999999999,0,0,6.2802999999999995
end effector reaching stuffedrabbit,20,8.6941,2.427,4.77245,0,0,6.267100000000001
take corn out of bowl sink,18,7.5751,1.32,6.76275,0,0,6.2551
put lid on pot,20,7.8892,1.6352,6.2677499999999995,0,0,6.254
take beet from pot sink,20,8.2007,1.9704,7.5013,0,0,6.2303
take broccoli out of pan,20,7.8163,1.5942,7.0176,0,0,6.2221
move drying rack out of sink,21,8.1011,1.8855,6.4394,0,0,6.2156
put knife in pot cardboard fence,20,8.455,2.276,6.6251999999999995,0,0,6.179
topple metal pot cardboard fence,21,7.4896,1.3168,6.25295,0,0,6.1728000000000005
take the eggplant and put it between the two right burners,19,8.0608,1.985,3.1003,0,0,6.0758
put bowl on plate,21,8.6589,2.752,8.4009,0,0,5.906899999999999
put pot or pan on stove,22,7.458,1.6645,6.0048,0,0,5.7935
move the silver pot to the upper right of table,20,7.6808,1.909,2.7227,0,0,5.7718
put pear on plate,22,8.2809,2.5113,7.3969,0,0,5.7696000000000005
put the blue figure on the top edge of the cloth,19,7.6516,1.8894,3.286,0,0,5.7622
end effector transition from pot or pan to object,20,8.4987,2.7387,4.03595,0,0,5.76
take banana out of colander,21,8.229,2.5493,7.90485,0,0,5.679699999999999
turn faucet right,20,7.9087,2.2706,6.1362000000000005,0,0,5.6381
take carrot out of pot cardboard fence,18,8.3663,2.7723,7.644399999999999,0,0,5.594000000000001
Close the drawer,17,8.1128,2.5492,7.4024,0,0,5.5636
upright metal pot cardboard fence,19,7.9992,2.4566,7.4836,0,0,5.5426
put pan on stove from sink,19,7.2149,1.6759,6.8363,0,0,5.539
put cup from sink to drying rack,21,7.3728,1.9186,6.9474,0,0,5.4542
put beet in pot sink,19,8.1552,2.7021,6.8013,0,0,5.453100000000001
put spatula on cutting board,20,8.5869,3.1665,8.0333,0,0,5.4204
