task,phrases,best,worst,median,rollout_measured,thin_evidence,spread
take bowl off plate,21,8.5992,-1.2645,6.8475,0,0,9.8637
put knife on cutting board,21,7.5736,-1.519,6.4727,0,0,9.0926
pick up glass cup,21,7.342,-1.5844,6.1723,0,0,8.9264
take sushi off plate,20,8.0572,-0.8363,7.589499999999999,0,0,8.8935
Fold the cloth from bottom left to top right,17,7.8242,-0.9997,5.1696,0,0,8.8239
take clothes out of laundry machine,26,8.151,-0.3897,7.17805,0,0,8.5407
end effector transition from object to object,26,8.7231,0.2118,3.7903000000000002,0,0,8.5113
take spatula off plate sink,24,7.587,-0.6718,6.12565,0,0,8.258799999999999
take bowl off plate cardboard fence,24,8.6199,0.6745,6.3483,0,0,7.945399999999999
fold the cloth from bottom to top,21,8.0147,0.1064,5.2546,0,0,7.9083
take the red object out of the pot and put it on the left burner,24,7.7885,-0.0338,1.1026,0,0,7.8223
topple basil bottle cardboard fence,19,7.8921,0.5879,4.7759,0,0,7.3042
pick up pot from sink,25,6.8246,-0.3638,4.1197,0,0,7.188400000000001
fold cloth in half,21,7.8803,0.7708,7.082,0,0,7.1095
topple hot sauce bottle cardboard fence,18,8.0554,0.9751,6.15755,0,0,7.0803
put cup on plate,28,7.7249,0.6858,6.2728,0,0,7.0390999999999995
put bowl on plate cardboard fence,21,8.5432,1.5311,8.1183,0,0,7.0121
unfold the cloth from right to left,25,7.348,0.3462,5.6294,0,0,7.0018
take carrot out of pot cardboard fence,22,8.3663,1.4132,7.644399999999999,0,0,6.953100000000001
fold the cloth from left to right,22,8.2436,1.3557,6.0245999999999995,0,0,6.887900000000001
unfold the cloth from bottom to top,22,7.5308,0.6923,3.7163,0,0,6.8385
put beet in pot sink,23,8.1552,1.454,6.8013,0,0,6.701200000000001
put spatula on plate sink,26,7.8205,1.1812,5.94455,0,0,6.6393
unfold the cloth from bottom left to top right,20,7.8767,1.25,5.268050000000001,0,0,6.6267
put blueberries on plate sink,20,8.1576,1.6758,7.4852,0,0,6.481800000000001
put banana in colander,25,8.4922,2.0268,7.7367,0,0,6.465400000000001
put pan from sink into drying rack,22,7.8271,1.3862,7.35205,0,0,6.440899999999999
