task,phrase,kind,base_kind,score,logit,z,grip,proxy_imputed,n_ctx,gt_success,source
widowx_carrot_on_keyboard_clean,"Onto the peripheral device used for entering text, ensure that the elongated orange vegetable is carefully deposited.",adversarial,,0.0,-2.9534,-8.5645,0.6422,False,60,,generated_adversarial
widowx_carrot_on_keyboard_clean,Put the carrot on the keyboard.,rephrased,original,0.0,,,,True,6,0.0,loop_claude
widowx_carrot_on_keyboard_clean,Place the carrot across the black keyboard.,rephrased,natural,0.0,,,,True,6,0.0,loop_qwen
widowx_carrot_on_keyboard_clean,Lay the orange carrot across the black keyboard.,rephrased,natural,0.0,,,,True,6,0.0,loop_claude
widowx_carrot_on_keyboard_clean,"Without causing damage to the electronics, convey the beta-carotene-rich vegetable from its current coordinates to a static position atop the keyboard.",adversarial,,0.03707616317803396,-2.8427,-8.0585,0.6523,False,60,,generated_adversarial
widowx_carrot_on_keyboard_clean,"Taking the long, tapered vegetable that grows underground, guide its trajectory until it comes to rest on the board of typing keys.",adversarial,,0.18398366865842092,-2.404,-7.1536,0.6491,False,60,,generated_adversarial
widowx_carrot_on_keyboard_clean,"Provided the workspace is clear, the target end state for the carrot is absolute physical contact with the top side of the keyboard.",adversarial,,0.22770004247823722,-2.2735,-8.4407,0.587,False,60,,generated_adversarial
widowx_carrot_on_keyboard_clean,"Assuming you have grasped the orange root vegetable, please transport it such that it rests atop the device used for typing.",adversarial,,0.2557358102581425,-2.1898,-7.8127,0.6043,False,132,0.0,generated_adversarial
widowx_carrot_on_keyboard_clean,"If it is within your capabilities, take the item usually fed to rabbits and situate it upon the QWERTY interface.",adversarial,,0.27286472925669575,-2.1386,-7.232,0.6226,False,60,,generated_adversarial
widowx_carrot_on_keyboard_clean,"Execute a transfer of the raw orange produce, terminating the motion only when it is supported by the text-entry hardware.",adversarial,,0.33869344044497696,-1.9421,-8.1325,0.5698,False,60,,generated_adversarial
widowx_carrot_on_keyboard_clean,It is required that the orange taproot be conveyed to the surface of the computer's primary input accessory.,adversarial,,0.3911414779820369,-1.7855,-6.8655,0.6058,False,60,,generated_adversarial
widowx_carrot_on_keyboard_clean,place the carrot across the keyboard,rephrased,natural,0.46168051708217905,,,,True,6,16.666666666666664,loop_qwen
widowx_carrot_on_keyboard_clean,Place the carrot on top of the keyboard.,rephrased,adversarial,0.46168051708217905,,,,True,6,16.666666666666664,loop_qwen
widowx_carrot_on_keyboard_clean,place the orange carrot across the black keyboard,rephrased,natural,0.46168051708217905,,,,True,6,16.666666666666664,loop_claude
widowx_carrot_on_keyboard_clean,Put the orange carrot on the black keyboard.,rephrased,original,0.46168051708217905,,,,True,6,16.666666666666664,loop_claude
widowx_carrot_on_keyboard_clean,"The carrot, which is currently located in your workspace, needs to be relocated to the surface of the keyboard immediately.",adversarial,,0.4742763112016044,-1.5372,-6.945,0.5807,False,60,,generated_adversarial
widowx_carrot_on_keyboard_clean,move the carrot to the keyboard,unknown,,0.4978524621722128,-1.4668,-6.381,0.5966,False,60,0.0,fine_exam
widowx_carrot_on_keyboard_clean,drop the carrot on the keyboard,unknown,,0.5041965567076596,-1.4479,-7.4397,0.5534,False,60,5.6,fine_exam
