task,phrase,kind,base_kind,score,logit,z,grip,proxy_imputed,n_ctx,gt_success,source
widowx_carrot_on_keyboard_clean,Put the carrot on the keyboard.,rephrased,original,0.0,,,,True,6,0.0,loop_claude
widowx_carrot_on_keyboard_clean,Place the carrot across the black keyboard.,rephrased,natural,0.0,,,,True,6,0.0,loop_qwen
widowx_carrot_on_keyboard_clean,"Assuming you have grasped the orange root vegetable, please transport it such that it rests atop the device used for typing.",adversarial,,0.0,-2.1898,-7.8127,0.6043,False,204,0.0,generated_adversarial
widowx_carrot_on_keyboard_clean,move the carrot to the keyboard,unknown,,0.32531009183452214,-1.4668,-6.381,0.5966,False,60,0.0,fine_exam
widowx_carrot_on_keyboard_clean,drop the carrot on the keyboard,unknown,,0.333834073806095,-1.4479,-7.4397,0.5534,False,60,5.6,fine_exam
widowx_carrot_on_keyboard_clean,put carrot on keyboard,unknown,,0.3754197900584747,-1.3555,-7.3951,0.547,False,66,16.7,fine_exam
widowx_carrot_on_keyboard_clean,carrot on keyboard,unknown,,0.407561867522392,-1.284,-6.9015,0.56,False,252,11.1,fine_exam
widowx_carrot_on_keyboard_clean,Pick up the carrot and set it down on the keyboard.,natural,,0.43113257049277753,-1.2316,-6.3969,0.5752,False,246,0.0,generated_natural
widowx_carrot_on_keyboard_clean,pick up the carrot and place it on the keyboard,unknown,,0.44711703619610726,-1.1961,-6.7323,0.5589,False,60,5.6,fine_exam
widowx_carrot_on_keyboard_clean,place the carrot across the keyboard,rephrased,natural,0.46168051708217905,,,,True,6,16.666666666666664,loop_qwen
widowx_carrot_on_keyboard_clean,set the orange carrot on the black keyboard,rephrased,natural,0.46168051708217905,,,,True,6,16.666666666666664,loop_claude
widowx_carrot_on_keyboard_clean,Place the orange carrot atop the black keyboard.,rephrased,adversarial,0.46168051708217905,,,,True,6,16.666666666666664,loop_claude
widowx_carrot_on_keyboard_clean,Put the orange carrot on the black keyboard,rephrased,original,0.46168051708217905,,,,True,6,16.666666666666664,loop_claude
widowx_carrot_on_keyboard_clean,Pick up the orange carrot and set it down on the black keyboard.,rephrased,natural,0.46168051708217905,,,,True,6,16.666666666666664,loop_claude
