task,category,style_consistent,phrase_lo,succ_lo,n_lo,phrase_hi,succ_hi,n_hi,gap_pp,z,change
widowx_pepsi_on_plate_clean,case/punctuation only,False,Set the Pepsi down on the plate.,19.4,432,set the pepsi down on the plate,82.3,96,62.8,12.06, -> 
widowx_eggplant_on_sponge_clean,noun/adjective synonym,True,set the purple eggplant next to the green sponge,4.2,24,set the purple eggplant over to the green sponge,62.5,24,58.3,4.29,next -> over
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the coke down on the plate,25.0,48,set the pepsi down on the plate,82.3,96,57.3,6.72,coke -> pepsi
widowx_pepsi_on_plate_clean,verb synonym,False,Put the Pepsi on the plate.,18.3,240,set the pepsi on the plate,75.0,48,56.7,8.0,put -> set
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the coke down on top of the plate,16.7,24,set the pepsi down on top of the plate,72.2,72,55.6,4.78,coke -> pepsi
widowx_pepsi_on_plate_clean,case/punctuation only,False,Set the Pepsi on the plate.,19.8,96,set the pepsi on the plate,75.0,48,55.2,6.43, -> 
widowx_pepsi_on_plate_clean,case/punctuation only,False,Drop the Pepsi onto the plate.,20.8,72,drop the pepsi onto the plate,75.0,48,54.2,5.88, -> 
widowx_pepsi_on_plate_clean,verb synonym,False,put the Pepsi on the plate,20.8,96,set the pepsi on the plate,75.0,48,54.2,6.29,put -> set
widowx_pepsi_on_plate_clean,verb synonym,False,Place the Pepsi onto the plate.,21.9,96,drop the pepsi onto the plate,75.0,48,53.1,6.15,place -> drop
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the coke on the plate,22.9,48,set the pepsi on the plate,75.0,48,52.1,5.1,coke -> pepsi
widowx_eggplant_on_sponge_clean,noun/adjective synonym,False,set the purple thing on the yellow and green sponge,22.9,96,Set the purple eggplant on the yellow and green sponge.,75.0,96,52.1,7.22,eggplant -> thing
widowx_eggplant_on_sponge_clean,noun/adjective synonym,False,set the purple vegetable onto the green and yellow sponge,37.5,24,set the purple eggplant onto the green and yellow sponge.,87.5,24,50.0,3.58,eggplant -> vegetable
widowx_nut_on_plate_clean,noun/adjective synonym,True,Put the fastener onto the dish.,12.5,48,Put the ring onto the dish.,62.5,48,50.0,5.06,fastener -> ring
widowx_eggplant_on_sponge_clean,noun/adjective synonym,True,set the purple thing on the yellow and green sponge,22.9,96,set the purple eggplant on the yellow and green sponge,72.9,96,50.0,6.93,eggplant -> thing
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Set the Pepsi can on the plate.,32.7,168,set the pepsi down on the plate,82.3,96,49.6,7.75,can -> down
widowx_pepsi_on_plate_clean,verb synonym,False,put the Pepsi on the plate.,26.2,168,set the pepsi on the plate,75.0,48,48.8,6.18,put -> set
widowx_pepsi_on_plate_clean,verb synonym,False,Drop the Pepsi onto the plate.,20.8,72,place the pepsi onto the plate,68.8,48,47.9,5.25,drop -> place
widowx_pepsi_on_plate_clean,case/punctuation only,False,Place the Pepsi onto the plate.,21.9,96,place the pepsi onto the plate,68.8,48,46.9,5.48, -> 
widowx_eggplant_on_sponge_clean,noun/adjective synonym,True,Lay the purple thing on the yellow and green sponge.,37.0,216,Lay the purple eggplant on the yellow and green sponge.,83.3,24,46.3,4.36,eggplant -> thing
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the soda on the plate,29.2,24,set the pepsi on the plate,75.0,48,45.8,3.74,pepsi -> soda
widowx_stack_cube,preposition synonym,True,place the green block onto the yellow block,8.3,24,place the green block on the yellow block,54.2,24,45.8,3.43,on -> onto
widowx_pepsi_on_plate_clean,slight restructure,False,"Set the Pepsi on the plate, please.",29.2,24,set the pepsi on the plate,75.0,48,45.8,3.74,reorder/determiners
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Put the blue can on the plate.,30.2,96,Put the blue soda on the plate.,75.0,24,44.8,4.02,can -> soda
widowx_pepsi_on_plate_clean,slight restructure,False,"Set the Pepsi down on top of the plate, please.",28.3,240,set the pepsi down on top of the plate,72.2,72,43.9,6.71,reorder/determiners
widowx_eggplant_on_sponge_clean,noun/adjective synonym,False,Place the purple vegetable on the green and yellow sponge.,45.8,48,place the purple eggplant on the green and yellow sponge,89.6,48,43.8,4.58,vegetable -> eggplant
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,Put the red soda can on top of the black keyboard.,2.8,72,Put the red soda cylinder on top of the black keyboard.,45.8,48,43.1,5.78,can -> cylinder
widowx_pepsi_on_plate_clean,case/punctuation only,False,Put the Pepsi on the plate.,18.3,240,put the pepsi on the plate,61.5,96,43.1,7.75, -> 
widowx_cube_on_plate_clean,noun/adjective synonym,False,put the blue block on the green dish,29.2,24,Put the green block on the green dish.,70.8,24,41.7,2.89,green -> blue
widowx_pepsi_on_plate_clean,verb synonym,False,Place the Pepsi on the plate.,33.3,24,set the pepsi on the plate,75.0,48,41.7,3.42,place -> set
