task,phrase,kind,base_kind,proxy,proxy_imputed,n_ctx,gt_success,source
Close the drawer,close the toy drawer,search,,0.992803766177398,True,80,,search_boards
Close the drawer,close the wooden drawer,search,,0.9928537326576863,True,80,,search_boards
Close the drawer,Close the drawer,original,,0.9931748276925734,True,80,,search_boards
Close the drawer,close the drawer using its handle,search,,0.9931801966163257,True,80,,search_boards
Close the drawer,push the drawer in,search,,0.9932351769647421,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth diagonally towards the top right,search,,0.9631106625186436,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth diagonally from bottom-left to top-right,search,,0.9841166699511005,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth from bottom left corner to top right,search,,0.9878723054807039,True,80,,search_boards
Fold the cloth from bottom left to top right,Fold the cloth from bottom left to top right,original,,0.9915812923021526,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the bottom left of the blue towel up to the top right,search,,0.9946934984012763,True,80,,search_boards
close brown1fbox flap,close the lid of the cardboard box,search,,0.9867173204868556,True,80,,search_boards
close brown1fbox flap,close the box lid,search,,0.9907989656028034,True,80,,search_boards
close brown1fbox flap,close the left lid of the box,search,,0.992847304775193,True,80,,search_boards
close brown1fbox flap,close the left lid of the brown box,search,,0.9929184928344658,True,80,,search_boards
close brown1fbox flap,close brown1fbox flap,original,,0.9944765022174112,True,80,,search_boards
close brown1fbox flap,shut the lid on the brown box,search,,0.994664742552994,True,80,,search_boards
close brown1fbox flap,close the brown box lid,search,,0.9946779415059493,True,80,,search_boards
close cabinet,push the cabinet door closed,search,,0.9946767429444222,True,80,,search_boards
close cabinet,close cabinet,original,,0.9946779415059493,True,80,,search_boards
close cabinet,shut the cabinet door,search,,0.9946821343578829,True,80,,search_boards
close cabinet,push the cabinet door to close it,search,,0.9946845287979481,True,80,,search_boards
close cabinet,shut the white cabinet door,search,,0.9946934984012763,True,80,,search_boards
close cabinet,shut the white cabinet,search,,0.994749957304816,True,80,,search_boards
close fridge,shut the fridge door,search,,0.9946182893015973,True,80,,search_boards
close fridge,shut the white fridge,search,,0.994623134279941,True,80,,search_boards
close fridge,close fridge,original,,0.9946946932103393,True,80,,search_boards
close fridge,close the white fridge,search,,0.9946982760322375,True,80,,search_boards
close fridge,shut the fridge,search,,0.9947006632430195,True,80,,search_boards
close fridge,close the fridge,search,,0.9947012598786392,True,80,,search_boards
close fridge,shut the white cabinet door,search,,0.9947209114148298,True,80,,search_boards
close large4fbox flaps,close large4fbox flaps,original,,0.9946695459351204,True,80,,search_boards
close large4fbox flaps,close the flaps of the large cardboard box,search,,0.9947203169802189,True,80,,search_boards
close large4fbox flaps,close the flaps on the cardboard box,search,,0.9947244766247478,True,80,,search_boards
close large4fbox flaps,close the flaps on the box,search,,0.9947250705935116,True,80,,search_boards
close large4fbox flaps,shut the flaps of the cardboard box,search,,0.9947286330094314,True,80,,search_boards
close large4fbox flaps,shut the flaps on the box,search,,0.994729819949519,True,80,,search_boards
close large4fbox flaps,close the box flaps,search,,0.9947304133198673,True,80,,search_boards
close large4fbox flaps,shut the flaps on the cardboard box,search,,0.9947387135304474,True,80,,search_boards
close microwave,close microwave,original,,0.9946659438019878,True,80,,search_boards
close microwave,shut the white microwave,search,,0.9946827330684599,True,80,,search_boards
close microwave,shut the wooden microwave,search,,0.9946863239242284,True,80,,search_boards
close microwave,push the white microwave shut,search,,0.9946917056858247,True,80,,search_boards
close microwave,push the wooden microwave shut,search,,0.9946946932103393,True,80,,search_boards
close microwave,shut the white microwave door,search,,0.9947935214760818,True,80,,search_boards
close microwave,shut the microwave door,search,,0.9947941077118011,True,80,,search_boards
close microwave,close the wooden microwave,search,,0.9947970379055964,True,80,,search_boards
close microwave,shut the microwave,search,,0.9947999664587208,True,80,,search_boards
close oven,close oven,original,,0.9946659438019878,True,80,,search_boards
close oven,push the open oven door until it is shut,search,,0.9946845287979481,True,80,,search_boards
close oven,push the open oven door shut,search,,0.9946869221656434,True,80,,search_boards
close oven,push the oven door back to close it,search,,0.9947030493846346,True,80,,search_boards
close oven,push the oven door to shut it,search,,0.9947054344575564,True,80,,search_boards
close oven,close the open oven door,search,,0.9947529122180783,True,80,,search_boards
close oven,shut the open oven door,search,,0.9947529122180783,True,80,,search_boards
close oven,close the oven door completely,search,,0.994755274957502,True,80,,search_boards
close oven,push the oven door to close it,search,,0.9947611771769215,True,80,,search_boards
close small4fbox flaps,close the small box on the stove,search,,0.9918289556081967,True,80,,search_boards
close small4fbox flaps,shut the small box,search,,0.9943647176196888,True,80,,search_boards
close small4fbox flaps,close the small box,search,,0.9943672541715394,True,80,,search_boards
close small4fbox flaps,fold the flaps of the box closed,search,,0.9946605360621634,True,80,,search_boards
close small4fbox flaps,shut the flaps of the small cardboard box,search,,0.9946665443256008,True,80,,search_boards
close small4fbox flaps,close small4fbox flaps,original,,0.994729819949519,True,80,,search_boards
close small4fbox flaps,close the box flaps on the stove,search,,0.9947635362142636,True,80,,search_boards
close the drawer,slide the red drawer in,search,,0.9922263513906068,True,80,,search_boards
close the drawer,slide the white drawer with the red front closed,search,,0.9927068890878147,True,80,,search_boards
close the drawer,shut the red drawer,search,,0.9930704591818394,True,80,,search_boards
close the drawer,push the red-front drawer shut,search,,0.9937613317351641,True,80,,search_boards
close the drawer,close the drawer,original,,0.9938960090452987,True,80,,search_boards
close the drawer,push the drawer shut,search,,0.9947452260002305,True,80,,search_boards
close the drawer,push the white drawer with the red front closed,search,,0.9947570463175194,True,80,,search_boards
close white1fbox flap,close flap of the white box,search,,0.9946605360621634,True,80,,search_boards
close white1fbox flap,close the flap on the white box,search,,0.9946683454929917,True,80,,search_boards
close white1fbox flap,close white1fbox flap,original,,0.9946791397990575,True,80,,search_boards
close white1fbox flap,close white box's flap,search,,0.9946881184475008,True,80,,search_boards
close white1fbox flap,close white box flap,search,,0.994749366123559,True,80,,search_boards
close white1fbox flap,fold down the white box flap,search,,0.994749957304816,True,80,,search_boards
closed the drawer,push in the drawer,search,,0.9930533014399484,True,80,,search_boards
closed the drawer,push the red drawer closed,search,,0.9931332689448731,True,80,,search_boards
closed the drawer,push the red drawer in,search,,0.9931893907289846,True,80,,search_boards
closed the drawer,push the wooden drawer in,search,,0.9931939831679906,True,80,,search_boards
closed the drawer,closed the drawer,original,,0.9937148437807823,True,80,,search_boards
closed the drawer,slide the red drawer shut,search,,0.9947440425115313,True,80,,search_boards
closed the drawer,push the drawer shut,search,,0.9947470007362726,True,80,,search_boards
end effector reaching corn,reach for the yellow corn on the stove,search,,0.9198780290305227,True,80,,search_boards
end effector reaching corn,put the gripper next to the corn,search,,0.992213244203473,True,80,,search_boards
end effector reaching corn,touch the yellow corn,search,,0.9945420201115168,True,80,,search_boards
end effector reaching corn,position gripper next to the corn,search,,0.9945891281133954,True,80,,search_boards
end effector reaching corn,touch the yellow corn with the gripper,search,,0.9945909552829294,True,80,,search_boards
end effector reaching corn,touch the toy corn with the gripper,search,,0.994615258985423,True,80,,search_boards
end effector reaching corn,end effector reaching corn,original,,0.9946466914957602,True,80,,search_boards
end effector reaching corn,touch the corn with the gripper,search,,0.9946521131817933,True,80,,search_boards
end effector reaching pot or pan,touch the red pot on the burner,search,,0.9820823042425272,True,80,,search_boards
end effector reaching pot or pan,reach for the red pot on the burner,search,,0.9907306092313247,True,80,,search_boards
end effector reaching pot or pan,move the gripper to the red toy pot,search,,0.9922350773518471,True,80,,search_boards
end effector reaching pot or pan,bring the gripper to the red toy pot,search,,0.9930805780601564,True,80,,search_boards
end effector reaching pot or pan,touch the red plastic pot,search,,0.9947078184622583,True,80,,search_boards
end effector reaching pot or pan,reach for the red cooking pot,search,,0.9947149640717772,True,80,,search_boards
end effector reaching pot or pan,end effector reaching pot or pan,original,,0.9947304133198673,True,80,,search_boards
