task,phrase,proxy,n_ctx,gt_success,source
Fold the cloth from bottom left to top right,Fold the cloth from bottom left to top right,,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth from bottom left corner to top right,,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth diagonally from bottom-left to top-right,,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth diagonally towards the top right,,80,,search_boards
Fold the cloth from bottom left to top right,fold the bottom left of the blue towel up to the top right,,80,,search_boards
close brown1fbox flap,close brown1fbox flap,,80,,search_boards
close brown1fbox flap,close the left lid of the brown box,,80,,search_boards
close brown1fbox flap,close the left lid of the box,,80,,search_boards
close brown1fbox flap,close the box lid,,80,,search_boards
close brown1fbox flap,close the lid of the cardboard box,,80,,search_boards
close brown1fbox flap,close the brown box lid,,80,,search_boards
close brown1fbox flap,shut the lid on the brown box,,80,,search_boards
close fridge,shut the white cabinet door,,80,,search_boards
close fridge,close the fridge,,80,,search_boards
close fridge,shut the fridge,,80,,search_boards
close fridge,close the white fridge,,80,,search_boards
close fridge,close fridge,,80,,search_boards
close fridge,shut the white fridge,,80,,search_boards
close fridge,shut the fridge door,,80,,search_boards
close low fridge,close low fridge,,80,,search_boards
close low fridge,shut the white door,,80,,search_boards
close low fridge,close the white cupboard door,,80,,search_boards
close low fridge,close the lower white door,,80,,search_boards
close low fridge,close the white door,,80,,search_boards
close low fridge,shut the white cupboard door,,80,,search_boards
close low fridge,shut the lower cabinet door,,80,,search_boards
close low fridge,close the cabinet below the dispenser,,80,,search_boards
close microwave,push the wooden microwave shut,,80,,search_boards
close microwave,push the white microwave shut,,80,,search_boards
close microwave,shut the wooden microwave,,80,,search_boards
close microwave,shut the white microwave,,80,,search_boards
close microwave,close microwave,,80,,search_boards
close microwave,shut the microwave,,80,,search_boards
close microwave,close the wooden microwave,,80,,search_boards
close microwave,shut the microwave door,,80,,search_boards
close microwave,shut the white microwave door,,80,,search_boards
close oven,push the oven door to shut it,,80,,search_boards
close oven,push the oven door back to close it,,80,,search_boards
close oven,push the open oven door shut,,80,,search_boards
close oven,push the open oven door until it is shut,,80,,search_boards
close oven,close oven,,80,,search_boards
close oven,push the oven door to close it,,80,,search_boards
close oven,close the oven door completely,,80,,search_boards
close oven,close the open oven door,,80,,search_boards
close oven,shut the open oven door,,80,,search_boards
close small4fbox flaps,close the box flaps on the stove,,80,,search_boards
close small4fbox flaps,close small4fbox flaps,,80,,search_boards
close small4fbox flaps,close the small box,,80,,search_boards
close small4fbox flaps,shut the small box,,80,,search_boards
close small4fbox flaps,close the small box on the stove,,80,,search_boards
close small4fbox flaps,shut the flaps of the small cardboard box,,80,,search_boards
close small4fbox flaps,fold the flaps of the box closed,,80,,search_boards
close white1fbox flap,close white box's flap,,80,,search_boards
close white1fbox flap,close white1fbox flap,,80,,search_boards
close white1fbox flap,close the flap on the white box,,80,,search_boards
close white1fbox flap,close flap of the white box,,80,,search_boards
close white1fbox flap,fold down the white box flap,,80,,search_boards
close white1fbox flap,close white box flap,,80,,search_boards
end effector reaching banana,end effector reaching banana,,80,,search_boards
end effector reaching banana,reach toward the yellow banana,,80,,search_boards
end effector reaching banana,aim the hand at the toy banana,,80,,search_boards
end effector reaching banana,navigate to the toy banana,,80,,search_boards
end effector reaching banana,aim the claw at the toy banana,,80,,search_boards
end effector reaching banana,aim the claw at the yellow banana,,80,,search_boards
end effector reaching banana,reach toward the toy banana,,80,,search_boards
end effector reaching banana,grab the yellow banana on the stove,,80,,search_boards
end effector reaching carrot,end effector reaching carrot,,80,,search_boards
end effector reaching carrot,point gripper at the orange carrot,,80,,search_boards
