task,phrase,succ,n,n_layouts,lo95,hi95,group,label,prior_success,prior_n,source,single_concept,format_matched
widowx_carrot_on_keyboard_clean,place the carrot on the keyboard,15.3,72,24,8.8,25.3,carrot_on_keyboard_clean,word dropped,13.9,78,B,True,True
widowx_carrot_on_keyboard_clean,place the carrot on the keyboard keys,25.0,72,24,16.4,36.1,carrot_on_keyboard_clean,word dropped,36.1,60,B,True,True
widowx_carrot_on_keyboard_clean,put the carrot on the black keyboard,25.0,72,24,16.4,36.1,carrot_on_keyboard_clean,destination noun,27.8,60,B,True,True
widowx_carrot_on_keyboard_clean,put the carrot on the keys,6.9,72,24,3.0,15.2,carrot_on_keyboard_clean,destination noun,2.8,60,B,True,True
widowx_carrot_on_plate,Put the orange carrot on the plate.,43.1,72,24,32.3,54.6,Ac10_obj_orange_carrot,colored,62.5,24,A_color,True,False
widowx_carrot_on_plate,put the carrot on the plate,41.7,72,24,31.0,53.2,Ac10_obj_orange_carrot,bare,25.0,84,A_color,True,False
widowx_carrot_on_ramekin_clean,Pick up the orange carrot and place it in the white bowl.,47.2,72,24,36.1,58.6,A16_noun_vegetable_carrot,hi carrot,54.2,48,A_top20,True,True
widowx_carrot_on_ramekin_clean,Pick up the orange vegetable and place it in the white bowl.,9.7,72,24,4.8,18.7,A16_noun_vegetable_carrot,lo vegetable,12.5,24,A_top20,True,True
widowx_carrot_on_ramekin_clean,Place the carrot in the ramekin.,20.8,72,24,13.1,31.6,A06_prep_in_inside,lo in,19.3,192,A_top20,True,True
widowx_carrot_on_ramekin_clean,Place the carrot inside the ramekin.,40.3,72,24,29.7,51.8,A06_prep_in_inside,hi inside,40.6,96,A_top20,True,True
widowx_carrot_on_wheel_clean,put the carrot on the black wheel,30.6,72,24,21.1,42.0,carrot_on_wheel_clean,destination noun,38.9,66,B,True,True
widowx_carrot_on_wheel_clean,put the carrot on the rim,5.6,72,24,2.2,13.4,carrot_on_wheel_clean,destination noun,5.6,66,B,True,True
widowx_carrot_on_wheel_clean,put the carrot on the tire,5.6,72,24,2.2,13.4,carrot_on_wheel_clean,destination noun,8.3,66,B,True,True
widowx_carrot_on_wheel_clean,put the carrot on the wheel,12.5,72,24,6.7,22.1,carrot_on_wheel_clean,colour word ADDED - helps,16.7,348,B,True,True
