task,suite,task_id,canonical,split_20260901,eval_set_20260904,phrase_a,phrase_b,a_is_canonical,edit_type,span_a,span_b,span_pos,edit_class,succ_a,succ_b,delta,p_z,p_fisher,both,a_only,b_only,neither,p_mcnemar,designed,design_note,source_a,source_b,significant_18pp
libero_10/0,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,unassigned,,put both the alphabet soup and the tomato sauce in the basket,put both the soup and the tomato sauce in the basket,True,delete,alphabet,,3,words removed,94,96,2,0.64635519553949,1.0,47,0,1,2,1.0,True,round8: E long-horizon nouns; alphabet soup -> soup,round8,round8,False
libero_10/1,libero_10,1,put both the cream cheese box and the butter in the basket,unassigned,,put both the cream cheese box and the butter in the basket,put both the cream cheese and the butter in the basket,True,delete,box,,5,words removed,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round8: E long-horizon nouns; drop 'box',round8,round8,False
libero_10/2,libero_10,2,turn on the stove and put the moka pot on it,unassigned,,turn on the stove and put the moka pot on it,switch on the stove and put the moka pot on it,True,replace,turn,switch,0,verb/frame,94,94,0,1.0,1.0,44,3,3,0,1.0,True,round4: C long-horizon structure; turn on->switch on (free on goal/7),round4,round4,False
libero_10/2,libero_10,2,turn on the stove and put the moka pot on it,unassigned,,turn on the stove and put the moka pot on it,turn on the stove and put the coffee pot on it,True,replace,moka,coffee,7,noun/other,94,100,6,0.0786401793488283,0.24242424242424243,47,0,3,0,0.25,True,round8: E long-horizon nouns; moka -> coffee,round4,round8,False
libero_10/3,libero_10,3,put the black bowl in the bottom drawer of the cabinet and close it,unassigned,,put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and shut it,True,replace,close,shut,12,verb/frame,98,96,-2,0.5577341459422835,1.0,48,1,0,1,1.0,True,round4: C long-horizon structure; close->shut,round4,round4,False
libero_10/5,libero_10,5,pick up the book and place it in the back compartment of the caddy,unassigned,,pick up the book and place it in the back compartment of the caddy,pick up the book and place it in the back slot of the caddy,True,replace,compartment,slot,10,noun/other,98,100,2,0.31487864133641963,1.0,49,0,1,0,1.0,True,round8: E long-horizon nouns; compartment -> slot,round8,round8,False
libero_10/8,libero_10,8,put both moka pots on the stove,unassigned,,put both coffee pots on the stove,put the moka pots on the stove,False,replace,both coffee,the moka,1,noun/other,66,66,0,1.0,1.0,23,10,10,7,1.0,False,,round8,round4,False
libero_10/8,libero_10,8,put both moka pots on the stove,unassigned,,put both moka pots on the stove,put both coffee pots on the stove,True,replace,moka,coffee,2,noun/other,62,66,4,0.6769222390213792,0.8351562058369704,21,10,12,7,0.8318119049072266,True,round8: E long-horizon nouns; moka -> coffee,round4,round8,False
libero_10/8,libero_10,8,put both moka pots on the stove,unassigned,,put both moka pots on the stove,put the moka pots on the stove,True,replace,both,the,1,noun/other,62,66,4,0.6769222390213792,0.8351562058369704,26,5,7,12,0.7744140625,True,round4: C long-horizon structure; drop 'both',round4,round4,False
libero_10/9,libero_10,9,put the yellow and white mug in the microwave and close it,unassigned,,put the yellow and white mug in the microwave and close it,put the yellow and white cup in the microwave and close it,True,replace,mug,cup,5,noun/other,94,94,0,1.0,1.0,45,2,2,1,1.0,True,round8: E long-horizon nouns; mug -> cup,round8,round8,False
libero_90/1,libero_90,1,close the top drawer of the cabinet and put the black bowl on top of it,train,,close the top drawer of the cabinet and put the black bowl on top of it,close the top drawer of the cabinet and place the black bowl on top of it,True,replace,put,place,8,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/1,libero_90,1,close the top drawer of the cabinet and put the black bowl on top of it,train,,close the top drawer of the cabinet and put the black bowl on top of it,shut the top drawer of the cabinet and put the black bowl on top of it,True,replace,close,shut,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/10,libero_90,10,put the black bowl on top of the cabinet,train,,place the black bowl on top of the cabinet,place the black bowl up onto the cabinet,False,replace,on top of,up onto,4,preposition/particle,100,60,-40,5.73303143758389e-07,1.758607257103998e-07,30,20,0,0,1.9073486328125e-06,False,,roll50,roll50,True
libero_90/10,libero_90,10,put the black bowl on top of the cabinet,train,,put the black bowl on top of the cabinet,put the grey bowl on top of the cabinet,True,replace,black,grey,2,color,94,96,2,0.64635519553949,1.0,46,1,2,1,1.0,True,"round7: same string, healthy scene",round7,round7,False
libero_90/10,libero_90,10,put the black bowl on top of the cabinet,train,,put the black bowl on top of the cabinet,place the black bowl on top of the cabinet,True,replace,put,place,0,verb/frame,94,100,6,0.0786401793488283,0.24242424242424243,47,0,3,0,0.25,True,roll50: preposition; confirm50,round7,roll50,False
libero_90/15,libero_90,15,put the middle black bowl on top of the cabinet,train,,put the middle black bowl on top of the cabinet,put the middle black bowl atop the cabinet,True,replace,on top of,atop,5,preposition/particle,2,0,-2,0.31487864133641996,1.0,0,1,0,49,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/15,libero_90,15,put the middle black bowl on top of the cabinet,train,,put the middle black bowl on top of the cabinet,place the middle black bowl on top of the cabinet,True,replace,put,place,0,verb/frame,2,10,8,0.09212296325765205,0.20440158503099362,1,0,4,45,0.125,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/17,libero_90,17,stack the middle black bowl on the back black bowl,train,,stack the middle black bowl on the back black bowl,put the middle black bowl on the back black bowl,True,replace,stack,put,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: G identical-object locator; verb,round6,round6,False
