task,phrase,proxy,gt_success,source
Fold the cloth from bottom left to top right,fold the blue cloth diagonally towards the top right,0.9632445252671518,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth diagonally from bottom-left to top-right,0.9841755592615528,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth from bottom left corner to top right,0.9879174412901047,,search_boards
Fold the cloth from bottom left to top right,Fold the cloth from bottom left to top right,0.991612741520974,,search_boards
Fold the cloth from bottom left to top right,fold the bottom left of the blue towel up to the top right,0.9947133835385609,,search_boards
close brown1fbox flap,close the lid of the cardboard box,0.9867666972379722,,search_boards
close brown1fbox flap,close the box lid,0.990833310291616,,search_boards
close brown1fbox flap,close the left lid of the box,0.9928740586208302,,search_boards
close brown1fbox flap,close the left lid of the brown box,0.9929449823013164,,search_boards
close brown1fbox flap,close brown1fbox flap,0.9944971960094299,,search_boards
close brown1fbox flap,shut the lid on the brown box,0.994684734871709,,search_boards
close brown1fbox flap,close the brown box lid,0.9946978846290893,,search_boards
close fridge,shut the fridge door,0.9946384547520117,,search_boards
close fridge,shut the white fridge,0.9946432816738326,,search_boards
close fridge,close fridge,0.9947145738940878,,search_boards
close fridge,close the white fridge,0.9947181433612968,,search_boards
close fridge,shut the fridge,0.9947205216738837,,search_boards
close fridge,close the fridge,0.9947211160855707,,search_boards
close fridge,shut the white cabinet door,0.9947406943700408,,search_boards
close low fridge,close the white door,0.994734176313742,,search_boards
close low fridge,close the lower white door,0.994739509866118,,search_boards
close low fridge,close the white cupboard door,0.9947442462902158,,search_boards
close low fridge,shut the white door,0.9947519339335363,,search_boards
close low fridge,close low fridge,0.9947531156546893,,search_boards
close low fridge,close the cabinet below the dispenser,0.9948036800443921,,search_boards
close low fridge,shut the lower cabinet door,0.9948054351413852,,search_boards
close low fridge,shut the white cupboard door,0.9948095280747512,,search_boards
close microwave,close microwave,0.9946859316434221,,search_boards
close microwave,shut the white microwave,0.9947026583320054,,search_boards
close microwave,shut the wooden microwave,0.9947062358034615,,search_boards
close microwave,push the white microwave shut,0.9947115975052637,,search_boards
close microwave,push the wooden microwave shut,0.9947145738940878,,search_boards
close microwave,shut the white microwave door,0.9948130337498577,,search_boards
close microwave,shut the microwave door,0.9948136178000012,,search_boards
close microwave,close the wooden microwave,0.9948165370695481,,search_boards
close microwave,shut the microwave,0.9948194547044767,,search_boards
close oven,close oven,0.9946859316434221,,search_boards
close oven,push the open oven door until it is shut,0.9947044473682255,,search_boards
close oven,push the open oven door shut,0.9947068318150227,,search_boards
close oven,push the oven door back to close it,0.994722898921246,,search_boards
close oven,push the oven door to shut it,0.9947252751038559,,search_boards
close oven,close the open oven door,0.9947725758830831,,search_boards
close oven,shut the open oven door,0.9947725758830831,,search_boards
close oven,close the oven door completely,0.9947749298145584,,search_boards
close oven,push the oven door to close it,0.9947808100311801,,search_boards
close small4fbox flaps,close the small box on the stove,0.9918594872426933,,search_boards
close small4fbox flaps,shut the small box,0.9943858278485752,,search_boards
close small4fbox flaps,close the small box,0.9943883549519199,,search_boards
close small4fbox flaps,fold the flaps of the box closed,0.9946805440591762,,search_boards
close small4fbox flaps,shut the flaps of the small cardboard box,0.9946865299287663,,search_boards
close small4fbox flaps,close small4fbox flaps,0.9947495696969313,,search_boards
close small4fbox flaps,close the box flaps on the stove,0.9947831602742284,,search_boards
close white1fbox flap,close flap of the white box,0.9946805440591762,,search_boards
close white1fbox flap,close the flap on the white box,0.9946883243828389,,search_boards
close white1fbox flap,close white1fbox flap,0.9946990784558146,,search_boards
close white1fbox flap,close white box's flap,0.9947080236379134,,search_boards
close white1fbox flap,close white box flap,0.9947690430078091,,search_boards
close white1fbox flap,fold down the white box flap,0.9947696319852479,,search_boards
end effector reaching banana,aim the claw at the toy banana,0.9787152469928305,,search_boards
end effector reaching banana,navigate to the toy banana,0.9815720602332193,,search_boards
end effector reaching banana,aim the hand at the toy banana,0.9832173198710531,,search_boards
end effector reaching banana,reach toward the yellow banana,0.9913614904921331,,search_boards
end effector reaching banana,end effector reaching banana,0.9941326029013261,,search_boards
end effector reaching banana,grab the yellow banana on the stove,0.9948554979341099,,search_boards
end effector reaching banana,reach toward the toy banana,0.9948560772275282,,search_boards
end effector reaching banana,aim the claw at the yellow banana,0.9948572356196909,,search_boards
end effector reaching carrot,touch the carrot on the stove grate,0.9811203660490615,,search_boards
end effector reaching carrot,touch the orange carrot on the stove,0.9867222810171133,,search_boards
end effector reaching carrot,touch the orange carrot on the right stove grate,0.9882873472423606,,search_boards
end effector reaching carrot,point gripper at the orange carrot,0.9887887421873103,,search_boards
end effector reaching carrot,end effector reaching carrot,0.994735362012264,,search_boards
end effector reaching carrot,aim gripper at the orange carrot,0.9947755181326557,,search_boards
end effector reaching corn,reach for the yellow corn on the stove,0.9201557670342139,,search_boards
end effector reaching corn,put the gripper next to the corn,0.9922423511499686,,search_boards
end effector reaching corn,touch the yellow corn,0.9945624697827804,,search_boards
end effector reaching corn,position gripper next to the corn,0.994609402239553,,search_boards
end effector reaching corn,touch the yellow corn with the gripper,0.994611222599915,,search_boards
end effector reaching corn,touch the toy corn with the gripper,0.9946354357292911,,search_boards
end effector reaching corn,end effector reaching corn,0.9946667510928574,,search_boards
end effector reaching corn,touch the corn with the gripper,0.9946721525718955,,search_boards
end effector reaching pot or pan,touch the red pot on the burner,0.9821485993826081,,search_boards
end effector reaching pot or pan,reach for the red pot on the burner,0.9907652066957001,,search_boards
end effector reaching pot or pan,move the gripper to the red toy pot,0.9922641033221846,,search_boards
end effector reaching pot or pan,bring the gripper to the red toy pot,0.9931064654316792,,search_boards
end effector reaching pot or pan,touch the red plastic pot,0.9947276502221849,,search_boards
end effector reaching pot or pan,reach for the red cooking pot,0.994734769196203,,search_boards
end effector reaching pot or pan,end effector reaching pot or pan,0.9947501608553883,,search_boards
end effector reaching salmon,[dry-run:gemini] fc8dfe765447,0.2050086869119735,,loop_gemini
end effector reaching salmon,bring gripper close to the pink salmon on the stove,0.9791748485463073,,search_boards
end effector reaching salmon,approach the salmon on the stove,0.9893860312803142,,search_boards
end effector reaching salmon,approach the salmon with the gripper,0.9897033733757687,,search_boards
end effector reaching salmon,bring gripper close to the salmon,0.9905154322416567,,search_boards
end effector reaching salmon,end effector reaching salmon,0.9947199271956203,,search_boards
