source,task,phrase,success_pct,n_episodes,is_pool_oracle
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and put it on the black keyboard.,29.2,24,True
sam8x1_B_step_0080.parquet,widowx_carrot_on_keyboard_clean,pick up the orange carrot and place it on the black keyboard,25.0,48,True
sam8x1_frozenERT.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and put it on the black computer keyboard.,25.0,24,True
sam8x1_frozenERT.parquet,widowx_carrot_on_keyboard_clean,pick up the orange carrot and place it on the black keyboard,25.0,24,True
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_keyboard_clean,Place the carrot on the keyboard.,22.9,48,True
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_keyboard_clean,place the carrot on the keyboard,20.8,24,True
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_keyboard_clean,Grasp the orange carrot and place it on the black keyboard.,20.8,24,True
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and put it on the keyboard,20.8,24,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on the black keyboard.,20.8,24,True
sam8x1_B_step_0080.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on top of the black keyboard.,20.8,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on top of the black keyboard.,20.8,24,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on the black keyboard.,18.1,72,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on the black keyboard.,17.7,96,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on the black keyboard.,16.7,72,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_keyboard_clean,pick up the orange carrot and place it on top of the black keyboard,16.7,24,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_keyboard_clean,pick up the orange carrot and put it on the black keyboard,16.7,24,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on the keyboard.,16.7,48,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_keyboard_clean,Grasp the orange carrot and set it on the black keyboard.,16.7,24,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_keyboard_clean,Pick up the carrot and place it on the black keyboard.,16.7,24,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on the keyboard.,16.7,24,False
