task,group,single_concept,format_matched,phrase_lo,succ_lo,ci_lo,phrase_hi,succ_hi,ci_hi,n_each,prior_gap,new_gap,z,survives
eggplant_on_sponge,Ac5_obj_purple_eggplant,True,True,eggplant goes on the sponge,8.3,"[3.9,17.0]",purple eggplant goes on the sponge,69.4,"[58.0,78.9]",72,62.5,61.1,7.52,True
eggplant_on_sponge,A18_order_fronted,True,True,purple Eggplant set on the sponge.,36.1,"[26.0,47.6]",Set the purple eggplant on the sponge.,84.7,"[74.7,91.2]",72,37.5,48.6,5.96,True
eggplant_on_sponge,A13_noun_thing_eggplant,True,True,set the purple thing on the yellow and green sponge,26.4,"[17.6,37.6]",set the purple eggplant on the yellow and green sponge,70.8,"[59.5,80.1]",72,50.0,44.4,5.33,True
pepsi_on_plate,A01_case_period,False,False,Set the Pepsi down on the plate.,26.4,"[17.6,37.6]",set the pepsi down on the plate,69.4,"[58.0,78.9]",72,62.9,43.0,5.16,True
coke_can_on_ramekin,ramekin_ladder,True,True,place the red cola can inside the white ramekin,31.9,"[22.3,43.4]",place the red cola can inside the white container,73.6,"[62.4,82.4]",72,50.0,41.7,5.01,True
eggplant_on_keyboard,Ac1_dest_black_keyboard,True,True,put the eggplant on the keyboard,12.5,"[6.7,22.1]",put the eggplant on the black keyboard,54.2,"[42.7,65.2]",72,42.2,41.7,5.31,True
coke_can_on_keyboard,A15_noun_can_cylinder,True,True,Put the red soda can on top of the black keyboard.,4.2,"[1.4,11.5]",Put the red soda cylinder on top of the black keyboard.,45.8,"[34.8,57.3]",72,43.0,41.6,5.76,True
pepsi_on_plate,A14_noun_soda_pepsi,True,True,set the soda on the plate,31.9,"[22.3,43.4]",set the pepsi on the plate,70.8,"[59.5,80.1]",72,45.8,38.9,4.67,True
pepsi_on_plate,A02_brand_case,True,False,Put the Pepsi on the plate.,30.6,"[21.1,42.0]",put the pepsi on the plate,69.4,"[58.0,78.9]",72,43.2,38.8,4.66,True
carrot_on_ramekin,A16_noun_vegetable_carrot,True,True,Pick up the orange vegetable and place it in the white bowl.,9.7,"[4.8,18.7]",Pick up the orange carrot and place it in the white bowl.,47.2,"[36.1,58.6]",72,41.7,37.5,4.99,True
pepsi_on_plate,Ac7_obj_blue_coke,True,True,set the coke on the plate,26.4,"[17.6,37.6]",set the blue coke on the plate,63.9,"[52.4,74.0]",72,47.9,37.5,4.52,True
coke_can_on_ramekin,ramekin_ladder,True,True,place the red cola can inside the white ramekin,31.9,"[22.3,43.4]",place the red cola can inside the white pot,69.4,"[58.0,78.9]",72,27.8,37.5,4.5,True
coke_can_on_ramekin,ramekin_ladder,True,True,place the red cola can inside the white ramekin,31.9,"[22.3,43.4]",place the red cola can inside the white bowl,69.4,"[58.0,78.9]",72,38.9,37.5,4.5,True
coke_can_on_ramekin,ramekin_ladder,True,True,place the red cola can inside the white ramekin,31.9,"[22.3,43.4]",place the red cola can inside the white basin,69.4,"[58.0,78.9]",72,55.6,37.5,4.5,True
cube_on_plate,A09_verb_put_place,True,True,put the green cube into the dish,40.3,"[29.7,51.8]",place the green cube into the dish,77.8,"[66.9,85.8]",72,37.5,37.5,4.58,True
cube_on_plate,Ac6_obj_green_block,True,True,put the block on the plate,44.4,"[33.5,55.9]",put the green block on the plate,79.2,"[68.4,86.9]",72,35.4,34.8,4.3,True
stack_cube,stack_cube,True,True,green block on yellow block,16.7,"[9.8,26.9]",put the green cube on the yellow cube,50.0,"[38.7,61.3]",72,13.9,33.3,4.24,True
coke_can_on_plate,coke_can_on_plate_clean,True,True,put the can on the plate,34.7,"[24.8,46.2]",put the coke on the plate,66.7,"[55.2,76.5]",72,33.3,32.0,3.84,True
cube_on_plate,Ac3_dest_yellow_plate,True,False,pick up the green cube and put it on the yellow plate,54.2,"[42.7,65.2]",Pick up the green cube and put it on the plate.,84.7,"[74.7,91.2]",72,47.9,30.5,3.97,True
eggplant_on_keyboard,Ac9_obj_purple_on_colored_dest,True,True,The purple eggplant needs to end up on the black keyboard.,30.6,"[21.1,42.0]",The eggplant needs to end up on the black keyboard.,61.1,"[49.6,71.5]",72,37.5,30.5,3.67,True
stack_cube,stack_cube,True,True,stack the green block on the yellow block,20.8,"[13.1,31.6]",put the green cube on the yellow cube,50.0,"[38.7,61.3]",72,14.9,29.2,3.66,True
coke_can_on_wheel,Ac2_dest_black_wheel,True,False,grab the red coke can and set it on the wheel,8.3,"[3.9,17.0]",Grab the red Coke can and set it on the black wheel.,36.1,"[26.0,47.6]",72,30.2,27.8,4.01,True
coke_can_on_plate,coke_can_on_plate_clean,True,True,put the can on the plate,34.7,"[24.8,46.2]",put the coke can on the plate,61.1,"[49.6,71.5]",72,30.5,26.4,3.17,True
stack_cube,stack_cube,True,True,green block on yellow block,16.7,"[9.8,26.9]",green cube on yellow cube,43.1,"[32.3,54.6]",72,33.3,26.4,3.46,True
stack_cube,stack_cube,True,True,stack the green cube on the yellow cube,25.0,"[16.4,36.1]",put the green cube on the yellow cube,50.0,"[38.7,61.3]",72,13.9,25.0,3.1,True
carrot_on_wheel,carrot_on_wheel_clean,True,True,put the carrot on the rim,5.6,"[2.2,13.4]",put the carrot on the black wheel,30.6,"[21.1,42.0]",72,33.3,25.0,3.9,True
carrot_on_wheel,carrot_on_wheel_clean,True,True,put the carrot on the tire,5.6,"[2.2,13.4]",put the carrot on the black wheel,30.6,"[21.1,42.0]",72,30.6,25.0,3.9,True
coke_can_on_plate,coke_can_on_plate_clean,True,True,put the coke can on the dish,41.7,"[31.0,53.2]",put the coke on the plate,66.7,"[55.2,76.5]",72,33.3,25.0,3.01,True
coke_can_on_ramekin,ramekin_ladder,True,True,place the red cola can inside the white cup,50.0,"[38.7,61.3]",place the red cola can inside the white container,73.6,"[62.4,82.4]",72,8.3,23.6,2.91,True
eggplant_on_keyboard,A12_verb_move_rest,True,True,Move the purple eggplant on the black keyboard.,16.7,"[9.8,26.9]",Rest the purple eggplant on the black keyboard.,40.3,"[29.7,51.8]",72,29.1,23.6,3.14,True
coke_can_on_plate,coke_can_on_plate_clean,True,True,put the coke can on the yellow plate,44.4,"[33.5,55.9]",put the coke on the plate,66.7,"[55.2,76.5]",72,22.2,22.3,2.69,True
stack_cube,stack_cube,True,True,stack the green block on the yellow block,20.8,"[13.1,31.6]",green cube on yellow cube,43.1,"[32.3,54.6]",72,34.3,22.3,2.87,True
