task,phrases,best,worst,median,rollout_measured,thin_evidence,spread
pick up blue pen and put into drawer,10,0.9945868091190836,0.17245345359381334,0.9871940306160925,0,0,0.8221333555252702
pick up pan from stove,11,0.9773485229208381,0.15551779461804735,0.9255674725524594,0,0,0.8218307283027907
pick up pot,10,0.9647060160091998,0.19824139350332098,0.9314251608239936,0,0,0.7664646225058789
wipe pot with sponge,9,0.9945776601614528,0.23799506858698208,0.990593643061179,0,0,0.7565825915744707
put carrot on plate,7,0.9893501323216758,0.24997671448984574,0.9888984424953307,0,0,0.7393734178318301
pick up scissors and put into drawer,7,0.9944672886463184,0.2642993855952033,0.9871711599839987,0,0,0.7301679030511151
put bowl on plate,10,0.9933559292654239,0.29200196201245165,0.9923288583833194,0,0,0.7013539672529723
put clothes in laundry machine,8,0.9947156744939428,0.29597358153776937,0.9926244454146931,0,0,0.6987420929561734
put pepper in pot or pan,8,0.9695083653835339,0.27933185484905376,0.9407975977235989,0,0,0.6901765105344801
turn lever vertical to front,12,0.9935691067458564,0.3082165053507561,0.9877947205258566,0,0,0.6853526013951003
put cup from anywhere into sink,8,0.9928787417913313,0.320477691169806,0.9813128154578851,0,0,0.6724010506215252
move light switch to the right,9,0.9947192432218173,0.33019909459632957,0.9942501622203899,0,0,0.6645201486254877
pick up glue and put into drawer,9,0.9946093109589971,0.33951468225792886,0.9857831723607235,0,0,0.6550946287010682
put pot in sink,8,0.9946468083794993,0.34410451781301277,0.9845058479475921,0,0,0.6505422905664865
end effector transition from pot or pan to object,8,0.9946846448599653,0.40616783961381425,0.9930583887783014,0,0,0.5885168052461511
put stuffedduck in pan,9,0.99466906214811,0.5285399050521215,0.9882609155090201,0,0,0.46612915709598857
put carrot in pot or pan,9,0.9946087040260884,0.5995172770801115,0.9847074964379331,0,0,0.3950914269459769
fold the cloth from top to bottom,8,0.9907360067885981,0.5976059132963886,0.9871466209337547,0,0,0.3931300934922095
put brush into pot or pan,8,0.9891405981215019,0.5963690240618753,0.9848987562691236,0,0,0.3927715740596266
pick up any cup,9,0.9946528320070509,0.6280473671343904,0.9900055564198639,0,0,0.36660546487266055
fold the cloth from bottom right to top left,9,0.9944679114107189,0.6331175519537551,0.9915150745500406,0,0,0.3613503594569638
put detergent in sink,6,0.9884962394390326,0.6489448185795084,0.986380118582525,0,0,0.3395514208595243
end effector reaching salmon,9,0.9946983917956871,0.7698281844504054,0.990340356455698,0,0,0.22487020734528174
put the ball in the cup,4,0.9859519187254266,0.7842992191368958,0.8575210277473182,0,0,0.20165269958853083
put big spoon from basket to tray,10,0.9856876756412332,0.8287381762785746,0.9428954547732351,0,0,0.15694949936265856
put the blue figure on the top edge of the cloth,7,0.9947025686221713,0.8382095480451418,0.9370556022605939,0,0,0.15649302057702952
put sweet potato in pan which is on stove,11,0.9827704931952157,0.8266070865775947,0.8837882559978584,0,0,0.15616340661762096
put corn in pot which is in sink,14,0.9745428849657376,0.8279334001251878,0.9121277956425402,0,0,0.1466094848405498
move the silver pot to the upper right of table,8,0.9874027333364496,0.848305398296173,0.939174285930215,0,0,0.13909733504027655
put the yellow duck in the drawer,6,0.9946786568781188,0.8707590811887351,0.942488941167317,0,0,0.12391957568938372
put small spoon from basket to tray,8,0.9893262528345345,0.8676839275641639,0.9879598888179185,0,0,0.12164232527037055
upright basil bottle cardboard fence,9,0.9946492186399937,0.8786347451572089,0.9857100145974416,0,0,0.11601447348278482
put eggplant into pan,8,0.981868321477044,0.874470637594519,0.9746546114665791,0,0,0.10739768388252491
put blueberries on plate sink,9,0.9946726621866756,0.909741846549812,0.9888909840100574,0,0,0.08493081563686355
put eggplant in pot or pan,5,0.9676273575317196,0.886901910641718,0.9655064826973051,0,0,0.0807254468900016
end effector reaching corn,8,0.9945733853866092,0.9187884062388268,0.9945104051738616,0,0,0.07578497914778237
unfold the cloth from bottom to top,8,0.9945088601040932,0.9212227269808776,0.977382714994583,0,0,0.07328613312321564
put pan on stove and put stuffedpig in pan,14,0.9888598536208856,0.9187546156740211,0.9502138017841144,0,0,0.07010523794686452
put cup from counter or drying rack into sink,7,0.9746801257227411,0.9055435488582095,0.9434349776634595,0,0,0.06913657686453156
take the eggplant and put it between the two right burners,7,0.9946323241227918,0.9262121350263791,0.9512581983711178,0,0,0.06842018909641268
pick up pot from sink,9,0.978984384063105,0.916374559977386,0.9752328554206331,0,0,0.06260982408571891
put pan from drying rack into sink,7,0.9913758733888581,0.9367008241699261,0.9741296548814613,0,0,0.05467504921893207
flip pot upright which is in sink,7,0.9909881160581082,0.9464437104180328,0.9576958291692184,0,0,0.044544405640075446
put pot on stove which is near stove,8,0.9893525173617623,0.9463000908634225,0.978351136095198,0,0,0.043052426498339846
right pepper shaker,7,0.9946244622155477,0.9520910983351801,0.9833732179889344,0,0,0.04253336388036755
