task,phrases,best,worst,median,rollout_measured,thin_evidence,spread
put fork from basket to tray,8,0.9811154500587287,0.20005659442656062,0.9754795915358391,0,0,0.781058855632168
put pan on stove from sink,8,0.994664742552994,0.3867283662579127,0.9866886370087428,0,0,0.6079363762950813
end effector transition from object to object,10,0.9947529122180783,0.6342471948887685,0.9892166079313999,0,0,0.3605057173293098
take the red object out of the pot and put it on the left burner,8,0.9947470007362726,0.6567247980086246,0.8662086298117893,0,0,0.33802220272764805
pick up glass cup,7,0.9946791397990575,0.7749777577627233,0.9859406355724702,0,0,0.21970138203633427
put the ball in the cup,4,0.9861539830500551,0.7867745309206905,0.8593064725595039,0,0,0.1993794521293646
put big spoon from basket to tray,10,0.9858934863966283,0.8308135295022031,0.9436559645703796,0,0,0.15507995689442522
put the blue figure on the top edge of the cloth,7,0.9947794321009199,0.8401922592619485,0.9379166936522343,0,0,0.1545871728389714
put sweet potato in pan which is on stove,11,0.9830175301970817,0.8287029265337285,0.8852888489831674,0,0,0.15431460366335326
put corn in pot which is in sink,14,0.9749048772613543,0.8300165053338944,0.9132980295726226,0,0,0.14488837192745996
put pear in bowl,5,0.9946821343578829,0.8538039578244517,0.9872409357899955,0,0,0.14087817653343115
put the yellow duck in the drawer,6,0.9947558654769768,0.8724036248100295,0.9432794516302734,0,0,0.12235224066694728
put small spoon from basket to tray,8,0.9894802993795513,0.8693617307670484,0.9881334179343575,0,0,0.12011856861250292
upright basil bottle cardboard fence,9,0.9947268521007124,0.8801928623290785,0.9859155087094832,0,0,0.11453398977163398
put cup on plate,12,0.990209333350136,0.8815572844942182,0.9863382179428523,0,0,0.10865204885591773
put eggplant into pan,8,0.9821280586015949,0.8760746744702121,0.9750150450429514,0,0,0.10605338413138277
end effector reaching corn,8,0.9946521131817933,0.9198780290305227,0.9945900416981623,0,0,0.07477408415127051
put carrot on plate,6,0.9895038378875423,0.9191155614810554,0.9891857297466571,0,0,0.07038827640648682
put cup from counter or drying rack into sink,7,0.9750402164792155,0.9067928513653964,0.9442139935148358,0,0,0.06824736511381901
take the eggplant and put it between the two right burners,7,0.9947102013992137,0.9272100440992262,0.9519349616011479,0,0,0.06750015729998748
pick up pot from sink,9,0.9792845621120478,0.9174936612452288,0.975585282344022,0,0,0.06179090086681904
put pepper in pot or pan,7,0.9699397387812253,0.9159294191708722,0.9580148018472951,0,0,0.054010319610353075
put pot on stove which is near stove,8,0.9895061888703456,0.9470418631903414,0.9786597527330153,0,0,0.042464325680004134
move drying rack out of sink,9,0.9947262583314866,0.9525884532392433,0.9931030980975528,0,0,0.0421378050922433
right pepper shaker,7,0.9947024529494393,0.9527568713732668,0.9836117572191844,0,0,0.04194558157617245
flip orange pot upright in sink,7,0.9947191279112524,0.9527976143022976,0.9784128873565312,0,0,0.0419215136089548
fold the cloth from left to right,6,0.9947304133198673,0.9545084579416817,0.9837478841828977,0,0,0.040221955378185625
put cup from sink to drying rack,9,0.9872209590344514,0.9494631389614717,0.9850593657823288,0,0,0.037757820072979675
put spatula on plate sink,7,0.9947363433696083,0.9570202883698065,0.9856169320255096,0,0,0.037716054999801796
fold the cloth from bottom to top,5,0.9917848050518634,0.958494765733889,0.9873035194133835,0,0,0.03329003931797436
Fold the cloth from bottom left to top right,5,0.9946934984012763,0.9631106625186436,0.9878723054807039,0,0,0.031582835882632665
unfold the cloth from bottom left to top right,4,0.990897502456633,0.9597330987998359,0.9648251730603299,0,0,0.03116440365679707
lift bowl,8,0.9947173438083309,0.9644072971269168,0.9777866664603654,0,0,0.030310046681414127
unfold the cloth from top left to bottom right,7,0.9874052759548619,0.9590717930395637,0.9819343129917795,0,0,0.028333482915298247
unzip zipper bag,7,0.9947215057828689,0.9680179500873791,0.9897168095610588,0,0,0.026703555695489767
put pan from stove to sink,11,0.9905934385159443,0.9656186677478892,0.9843310907502785,0,0,0.0249747707680551
put potato in pot or pan,7,0.9946563262726162,0.970907799188892,0.9735407469296907,0,0,0.023748527083724214
put redcube in pan and put pan on stove,11,0.9885959590722423,0.9650466831434198,0.9850042910945769,0,0,0.0235492759288225
take lid off pot or pan,7,0.9946587322707169,0.971499758945504,0.9771365778846047,0,0,0.023158973325212884
take sushi out of pan,7,0.9945891281133954,0.9718052981002142,0.98956245641665,0,0,0.022783830013181183
lever vertical to front,12,0.9947078184622583,0.9720308242488231,0.9946448813983716,0,0,0.022676994213435164
unfold the cloth from bottom to top,7,0.9945885189204816,0.9720677289836132,0.980194400467,0,0,0.022520789936868457
put beet in pot sink,7,0.9946635410349255,0.9734911338722356,0.9842505801626394,0,0,0.021172407162689866
put potato in pot cardboard fence,7,0.9947658941949227,0.9735960899229841,0.9880513512231257,0,0,0.021169804271938597
put broccoli in bowl,8,0.9947605872524242,0.9739372857075154,0.9800218806753391,0,0,0.020823301544908857
put green squash in pot or pan,8,0.9947292265127095,0.9743280383600226,0.9810366868087032,0,0,0.020401188152686878
pick up blue pen and put into drawer,9,0.9946653432111215,0.9745226750812308,0.9887958367399494,0,0,0.02014266812989074
put stuffedduck in pan,8,0.9947464092238496,0.9748771692974698,0.990445635412001,0,0,0.01986923992637979
topple basil bottle cardboard fence,7,0.99469409583926,0.9753768196088419,0.9862770860055333,0,0,0.019317276230418123
put sweet potato in pot which is in sink,8,0.984910373168889,0.9659180373187011,0.9720218381948701,0,0,0.01899233585018789
put detergent from sink into drying rack,8,0.9919283421367773,0.97362517256362,0.9820922319901171,0,0,0.018303169573157252
put corn in pan which is on stove,11,0.9854263504570843,0.9673739694499692,0.9702745518732332,0,0,0.018052381007115037
move the cloth to the left of the table,9,0.9920658283003148,0.9743421909930816,0.9847003460984369,0,0,0.017723637307233142
